          ID   lat_alloc   lon_alloc  area_alloc     lat_ori     lon_ori    area_ori   area_diff  area_error loc_km_diff alloc_score      ix      ix
     1159120     -31.813      20.579    1684.073     -31.813      20.579    1684.073       0.000       0.000       0.057       0.011   24070   14618
     1159130     -30.471      20.521   37829.930     -30.471      20.521   37829.930       0.000       0.000       0.023       0.005   24063   14457
     1159131     -31.363      21.321   13159.003     -31.363      21.321   13159.003       0.000       0.000       0.057       0.011   24159   14564
     1159300     -28.463      21.246  354290.531     -28.463      21.246  354290.531       0.000       0.000       0.056       0.011   24150   14216
     1159301     -29.654      22.746  330382.750     -29.654      22.746  330382.750       0.000       0.000       0.024       0.005   24330   14359
     1159302     -29.163      23.696   99239.883     -29.163      23.696   99239.883       0.000       0.000       0.057       0.011   24444   14300
     1159303     -29.813      24.438   91699.000     -29.813      24.438   91699.000       0.000       0.000       0.072       0.014   24533   14378
     1159310     -29.146      26.321     339.324     -29.146      26.321     339.324       0.000       0.000       0.023       0.005   24759   14298
     1159320     -29.654      25.971    2361.112     -29.654      25.971    2361.112      -0.000      -0.000       0.025       0.005   24717   14359
     1159321     -29.813      26.213     591.606     -29.813      26.213     591.606      -0.000      -0.000       0.073       0.015   24746   14378
     1159325     -29.904      26.213     196.387     -29.904      26.213     196.387       0.000       0.000       0.052       0.010   24746   14389
     1159400     -27.571      24.746   10703.677     -27.571      24.746   10703.677       0.000       0.000       0.023       0.005   24570   14109
     1159410     -27.838      25.904   17917.879     -27.838      25.904   17917.879       0.000       0.000       0.057       0.011   24709   14141
     1159500     -28.496      24.604  119082.602     -28.496      24.604  119082.602       0.000       0.000       0.024       0.005   24553   14220
     1159510     -27.396      26.613    7755.738     -27.396      26.613    7755.738       0.000       0.000       0.051       0.010   24794   14088
     1159511     -27.396      26.629    7743.239     -27.396      26.629    7743.239       0.000       0.000       0.026       0.005   24796   14088
     1159512     -27.938      27.996     854.088     -27.938      27.996     854.088      -0.000      -0.000       0.056       0.011   24960   14153
     1159520     -27.354      27.288     914.286     -27.354      27.288     914.286      -0.000      -0.000       0.052       0.010   24875   14083
     1159530     -27.371      26.354     903.626     -27.371      26.354     903.626       0.000       0.000       0.024       0.005   24763   14085
     1159540     -27.563      26.229    1413.273     -27.563      26.229    1413.273       0.000       0.000       0.057       0.011   24748   14108
     1159600     -31.029      26.329    2174.907     -31.029      26.329    2174.907      -0.000      -0.000       0.026       0.005   24760   14524
     1159601     -31.004      26.354    2384.744     -31.004      26.354    2384.744       0.000       0.000       0.025       0.005   24763   14521
     1159650     -30.679      26.713   36988.648     -30.679      26.713   36988.648       0.000       0.000       0.051       0.010   24806   14482
     1159651     -30.338      27.354   24667.820     -30.338      27.354   24667.820       0.000       0.000       0.057       0.011   24883   14441
     1159660     -30.829      26.921    8657.334     -30.829      26.921    8657.334       0.000       0.000       0.024       0.005   24831   14500
     1159670     -28.688      28.238     517.509     -28.688      28.238     517.509       0.000       0.000       0.072       0.014   24989   14243
     1159800     -26.821      28.063   38646.223     -26.821      28.063   38646.223       0.000       0.000       0.052       0.010   24968   14019
     1159810     -27.296      28.496   15457.521     -27.296      28.496   15457.521      -0.001      -0.000       0.023       0.005   25020   14076
     1159820     -27.846      28.946     872.931     -27.846      28.946     872.931       0.000       0.000       0.023       0.005   25074   14142
     1159825     -28.088      28.838     389.124     -28.088      28.838     389.124      -0.000      -0.000       0.072       0.014   25061   14171
     1159830     -28.379      28.863     697.084     -28.379      28.863     697.084      -0.000      -0.000       0.051       0.010   25064   14206
     1159850     -26.246      27.588      32.232     -26.246      27.588      32.232       0.000       0.000       0.052       0.018   24911   13950
     1159860     -26.229      27.671      26.041     -26.229      27.671      26.041      -0.000      -0.000       0.025       0.010   24921   13948
     1159900     -27.171      29.238    4146.686     -27.171      29.238    4146.686       0.000       0.000       0.051       0.010   25109   14061
     1159910     -26.863      28.888    2231.471     -26.863      28.888    2231.471       0.000       0.000       0.073       0.015   25067   14024
     1160100     -34.079      19.288     497.839     -34.079      19.288     497.839       0.000       0.000       0.050       0.010   23915   14890
     1160101     -34.063      19.071      39.152     -34.063      19.071      39.152       0.000       0.000       0.057       0.018   23889   14888
     1160115     -34.404      19.596     600.026     -34.404      19.596     600.026       0.000       0.000       0.025       0.005   23952   14929
     1160120     -34.288      20.021     378.901     -34.288      20.021     378.901      -0.000      -0.000       0.056       0.011   24003   14915
     1160200     -30.821      18.121    2341.466     -30.821      18.121    2341.466      -0.000      -0.000       0.023       0.005   23775   14499
     1160210     -33.988      18.954      22.339     -33.988      18.954      22.339      -0.000      -0.000       0.058       0.024   23875   14879
     1160220     -32.779      19.279     284.752     -32.779      19.279     284.752      -0.000      -0.000       0.026       0.005   23914   14734
     1160230     -32.213      18.938     179.064     -32.213      18.938     179.064       0.000       0.000       0.071       0.014   23873   14666
     1160235     -31.863      18.688   23959.719     -31.863      18.688   23959.719       0.000       0.000       0.072       0.014   23843   14624
     1160240     -33.188      19.154      20.041     -33.188      19.154      20.041       0.000       0.000       0.057       0.025   23899   14783
     1160245     -33.138      19.063     186.220     -33.138      19.063     186.220       0.000       0.000       0.071       0.014   23888   14777
     1160250     -33.463      18.738     246.441     -33.463      18.738     246.441       0.000       0.000       0.072       0.014   23849   14816
     1160255     -33.704      18.696     469.470     -33.704      18.696     469.470      -0.000      -0.000       0.023       0.005   23844   14845
     1160257     -33.579      18.363      27.514     -33.579      18.363      27.514      -0.000      -0.000       0.050       0.019   23804   14830
     1160260     -33.796      18.971     504.689     -33.796      18.971     504.689      -0.000      -0.000       0.024       0.005   23877   14856
     1160265     -33.313      19.071     395.114     -33.313      19.071     395.114      -0.000      -0.000       0.056       0.011   23889   14798
     1160270     -33.354      19.104      35.029     -33.354      19.104      35.029       0.000       0.000       0.025       0.008   23893   14803
     1160271     -33.379      19.163      19.142     -33.379      19.163      19.142      -0.000      -0.000       0.050       0.023   23900   14806
     1160275     -33.388      19.163       9.080     -33.388      19.163       9.080       0.000       0.000       0.072       0.048   23900   14807
     1160290     -33.913      18.946      32.290     -33.913      18.946      32.290      -0.000      -0.000       0.056       0.020   23874   14870
     1160295     -33.896      19.088      46.086     -33.896      19.088      46.086      -0.000      -0.000       0.048       0.014   23891   14868
     1160300     -33.379      19.304     659.733     -33.379      19.304     659.733      -0.000      -0.000       0.026       0.005   23917   14806
     1160301     -33.421      19.271     755.487     -33.421      19.271     755.487       0.000       0.000       0.023       0.005   23913   14811
     1160302     -34.071      20.388    9843.709     -34.071      20.388    9843.709       0.000       0.000       0.049       0.010   24047   14889
     1160310     -33.363      19.296      53.698     -33.363      19.296      53.698      -0.000      -0.000       0.057       0.016   23916   14804
     1160315     -33.463      19.621      16.124     -33.463      19.621      16.124       0.000       0.000       0.056       0.028   23955   14816
     1160317     -33.571      19.146      83.645     -33.571      19.146      83.645      -0.000      -0.000       0.023       0.005   23898   14829
     1160318     -33.754      19.329     159.427     -33.754      19.329     159.427       0.000       0.000       0.025       0.005   23920   14851
     1160320     -32.504      19.538    6849.054     -32.504      19.538    6849.054      -0.000      -0.000       0.050       0.010   23945   14701
     1160324     -33.771      19.863      29.225     -33.771      19.863      29.225       0.000       0.000       0.049       0.018   23984   14853
     1160325     -34.013      19.838      18.733     -34.013      19.838      18.733       0.000       0.000       0.071       0.033   23981   14882
     1160327     -33.954      19.588      14.798     -33.954      19.588      14.798      -0.000      -0.000       0.049       0.026   23951   14875
     1160328     -33.979      19.329      17.081     -33.979      19.329      17.081       0.000       0.000       0.025       0.012   23920   14878
     1160330     -32.604      18.754     659.676     -32.604      18.754     659.676       0.000       0.000       0.026       0.005   23851   14713
     1160331     -33.963      19.288      56.638     -33.963      19.288      56.638       0.000       0.000       0.071       0.019   23915   14876
     1160332     -33.938      19.171      45.866     -33.938      19.171      45.866      -0.000      -0.000       0.056       0.017   23901   14873
     1160340     -33.563      19.513     704.976     -33.563      19.513     704.976       0.000       0.000       0.071       0.014   23942   14828
     1160343     -33.788      20.121     598.314     -33.788      20.121     598.314      -0.000      -0.000       0.057       0.011   24015   14855
     1160345     -33.713      20.054      78.755     -33.713      20.054      78.755      -0.000      -0.000       0.057       0.013   24007   14846
     1160346     -33.696      19.929      17.749     -33.696      19.929      17.749      -0.000      -0.000       0.024       0.012   23992   14844
     1160347     -33.596      19.763     106.449     -33.596      19.763     106.449      -0.000      -0.000       0.048       0.010   23972   14832
     1160348     -33.638      19.813      47.611     -33.638      19.813      47.611       0.000       0.000       0.071       0.021   23978   14837
     1160350     -33.571      20.704    2895.051     -33.571      20.704    2895.051       0.000       0.000       0.024       0.005   24085   14829
     1160351     -33.946      22.613      81.159     -33.946      22.613      81.159      -0.000      -0.000       0.049       0.011   24314   14874
     1160361     -33.288      19.729      33.677     -33.288      19.729      33.677       0.000       0.000       0.057       0.020   23968   14795
     1160365     -33.496      21.488     292.206     -33.496      21.488     292.206      -0.000      -0.000       0.050       0.010   24179   14820
     1160367     -33.488      21.488      25.785     -33.488      21.488      25.785       0.000       0.000       0.072       0.028   24179   14819
     1160368     -33.496      21.513      25.734     -33.496      21.513      25.734       0.000       0.000       0.049       0.019   24182   14820
     1160370     -34.029      21.588      94.216     -34.029      21.588      94.216       0.000       0.000       0.049       0.010   24191   14884
     1160375     -33.988      21.763     114.896     -33.988      21.763     114.896       0.000       0.000       0.071       0.014   24212   14879
     1160378     -33.313      21.638   17059.715     -33.313      21.638   17059.715       0.000       0.000       0.071       0.014   24197   14798
     1160380     -33.479      23.029    4291.528     -33.479      23.029    4291.528       0.000       0.000       0.025       0.005   24364   14818
     1160385     -33.546      22.971      32.413     -33.546      22.971      32.413       0.000       0.000       0.023       0.008   24357   14826
     1160390     -33.479      22.546     691.195     -33.479      22.546     691.195       0.000       0.000       0.024       0.005   24306   14818
     1160393     -33.679      22.138     346.282     -33.679      22.138     346.282       0.000       0.000       0.049       0.010   24257   14842
     1160395     -33.371      22.179      31.451     -33.371      22.179      31.451      -0.000      -0.000       0.024       0.009   24262   14805
     1160396     -33.471      22.004     139.835     -33.471      22.004     139.835       0.000       0.000       0.025       0.005   24241   14817
     1160398     -33.463      21.963      35.766     -33.463      21.963      35.766      -0.000      -0.000       0.071       0.024   24236   14816
     1160400     -34.004      22.346     145.742     -34.004      22.346     145.742       0.000       0.000       0.024       0.005   24282   14881
     1160405     -33.954      22.421      34.769     -33.954      22.421      34.769       0.000       0.000       0.024       0.008   24291   14875
     1160415     -34.104      22.071     143.166     -34.104      22.071     143.166      -0.000      -0.000       0.024       0.005   24249   14893
     1160420     -33.971      22.546      49.002     -33.971      22.546      49.002      -0.000      -0.000       0.023       0.007   24306   14877
     1160425     -33.913      22.704      72.071     -33.913      22.704      72.071      -0.000      -0.000       0.057       0.013   24325   14870
     1160427     -33.879      22.838      22.753     -33.879      22.838      22.753      -0.000      -0.000       0.049       0.021   24341   14866
     1160430     -33.888      23.029     133.875     -33.888      23.029     133.875       0.000       0.000       0.057       0.011   24364   14867
     1160435     -33.988      23.046      90.889     -33.988      23.046      90.889       0.000       0.000       0.057       0.012   24366   14879
