          ID   lat_alloc   lon_alloc  area_alloc     lat_ori     lon_ori    area_ori   area_diff  area_error loc_km_diff alloc_score      ix      ix     lat_mod     lon_mod    area_mod      Modify
          41      48.729    -121.071    2616.963      48.732    -121.067    2599.000      17.963       0.007       0.444       0.096    7072    4953      48.732    -121.067    2599.000            
          42      48.712    -121.129    2935.688      48.715    -121.130    2923.000      12.688       0.004       0.342       0.073    7065    4955      48.715    -121.130    2923.000            
          43      48.646    -121.688     554.559      48.648    -121.688     552.000       2.559       0.005       0.223       0.049    6998    4963      48.648    -121.688     552.000            
          44      48.554    -121.737     760.557      48.553    -121.740     749.000      11.557       0.015       0.247       0.065    6992    4974      48.553    -121.740     749.000            
          45      48.521    -123.704      59.079      48.519    -123.702      72.000     -12.921      -0.179       0.266       0.227    6756    4978      48.519    -123.702      72.000            
          46      48.496    -123.987     101.587      48.499    -123.990     110.000      -8.413      -0.076       0.401       0.142    6722    4981      48.499    -123.990     110.000            
          47      47.979    -121.688     176.948      47.977    -121.684     180.000      -3.052      -0.017       0.372       0.087    6998    5043      47.977    -121.684     180.000            
          48      47.946    -121.829      19.067      47.948    -121.832      17.000       2.067       0.122       0.315       0.274    6981    5047      47.948    -121.832      17.000            
          49      47.837    -120.021    2395.194      47.840    -120.024    2378.000      17.194       0.007       0.402       0.088    7198    5060      47.840    -120.024    2378.000            
          50      47.696    -121.688      48.877      47.695    -121.688      51.000      -2.123      -0.042       0.111       0.064    6998    5077      47.695    -121.688      51.000            
          51      47.421    -123.221     240.930      47.423    -123.224     236.000       4.930       0.021       0.317       0.084    6814    5110      47.423    -123.224     236.000            
          52      47.412    -121.754     211.897      47.413    -121.752     214.000      -2.103      -0.010       0.188       0.045    6990    5111      47.413    -121.752     214.000            
          53      47.404    -122.154      19.900      47.406    -122.126      19.000       0.900       0.047       2.124       1.022    6942    5112      47.406    -122.126      19.000            
          54      47.387    -123.604     106.137      47.386    -123.605     107.000      -0.863      -0.008       0.135       0.033    6768    5114      47.386    -123.605     107.000            
          55      47.321    -121.337     143.194      47.324    -121.340     142.000       1.194       0.008       0.404       0.089    7040    5122      47.324    -121.340     142.000            
          56      47.279    -121.787     576.258      47.277    -121.784     568.000       8.258       0.015       0.317       0.078    6986    5127      47.277    -121.784     568.000            
