        ID       lat       lon   area_CaMa  area_GRanD       error        diff      ix      iy     cap_mcm  year  damname                         rivname
        95    43.879  -124.104       282.5       246.2         0.1        36.3     224     185        18.6  1964  SiltcoosLake                    SiltcoosRiver                 
        98    43.762  -121.796       671.5       668.7         0.0         2.8     233     185        68.2  1939  CranePrairie                    DeschutesRiver                
        99    43.712  -123.054       395.0       273.8         0.4       121.3     228     186        61.7  1942  CottageGrove                    CoastForkofWillametteRiver    
       100    43.704  -122.421      1658.6      1010.0         0.6       648.6     231     186       439.1  1962  HillsCreek                      MiddleForkofWillametteRiver   
       101    43.679  -121.696      1278.7      1166.7         0.1       111.9     234     186       267.0  1913  WickiupReservoir                DeschutesRiver                
       103    43.321  -122.196       540.2       445.0         0.2        95.3     232     187        14.5  1955  Lemolo1                         NorthUmpquaRiver              
       107    42.671  -122.671      1777.3      1777.4        -0.0        -0.1     231     189       616.7  1976  WilliamL.Jess                   RogueRiver                    
       110    42.237  -121.812     11042.4      9680.6         0.1      1361.8     233     192       646.0  1921  LinkRiverDiversion              KlamathRiver                  
       112    42.204  -121.129       623.2       597.3         0.0        25.9     237     192       116.3  1925  Gerber                          MillerCreek                   
       115    42.121  -120.621       597.4       529.7         0.1        67.8     238     192        80.2  1914  DrewsReservoir                  DrewsCreek                    
       117    41.979  -122.329     14613.9     13530.2         0.1      1083.7     231     193        58.0  1917  Copco1                          KlamathRiver                  
       118    41.937  -122.438     14613.9     14229.9         0.0       383.9     231     193        71.5  1962  IronGate                        KlamathRiver                  
       119    41.904  -121.071      1316.9      1314.5         0.0         2.4     237     193       737.0  1910  ClearLakeDike                   LostRiver                     
       120    41.579  -120.629       436.6       253.7         0.7       182.9     238     194        95.0  1921  BigSage                         RattlesnakeCreek              
       124    41.129  -122.071      1498.3      1054.3         0.4       444.0     232     196        43.5  1965  McCloud                         McCloudRiver                  
       127    41.021  -121.671     15286.1     14695.9         0.0       590.2     233     196        42.7  1925  Pit3                            PitRiver                      
       129    40.846  -121.987     15760.9     15573.6         0.0       187.3     233     197        42.1  1965  Pit7                            PitRiver                      
       131    40.804  -122.762      1972.0      1789.4         0.1       182.7     229     197      2633.5  1962  Trinity                         TrinityRiver                  
       132    40.721  -122.421     20453.8     19402.2         0.1      1051.5     231     198      4890.7  1945  Shasta                          SacramentoRiver               
       133    40.596  -122.537       613.6       518.3         0.2        95.2     230     198       263.4  1963  Whiskeytown                     ClearCreek                    
       138    40.179  -121.087      1308.4      1278.6         0.0        29.8     235     199      1613.4  1927  LakeAlmanor                     NorthForkofFeatherRiver       
       144    39.812  -122.337      2083.9      1919.9         0.1       163.9     231     201       177.3  1963  BlackButteDam                   StoneyCreek                   
       146    39.587  -122.529       779.1       779.0         0.0         0.1     230     203        62.1  1928  StonyGorge                      StonyCreek                    
       148    39.537  -121.479      9399.0      9313.0         0.0        86.0     235     202      4366.5  1968  Oroville                        FeatherRiver                  
       156    39.412  -122.954       800.7       745.5         0.1        55.2     229     203        90.0  1921  Scott                           EelRiver                      
       158    39.396  -121.137      1267.8      1258.9         0.0         8.9     236     202      1196.0  1970  NewBullardsBar                  NorthYubaRiver                
       162    39.329  -120.637       382.5       306.6         0.2        75.9     238     203        92.2  1913  LakeSpaulding                   SouthForkofYubaRiver          
       164    39.321  -121.312       279.9       184.8         0.5        95.1     235     203        70.3  1963  VirginiaRanch                   DryCreek                      
       168    39.237  -121.271      2827.1      2868.1        -0.0       -41.0     236     203        86.3  1941  HarryL.EnglebrightDam           YubaRiver                     
       170    39.162  -120.146      1553.2      1322.1         0.2       231.1     240     204       902.9  1913  LakeTahoe                       TruckeeRiver                  
       173    39.079  -122.537       535.8       312.2         0.7       223.5     230     204       442.8  1975  IndianValley                    NorthForkofCacheCreek         
       174    39.062  -120.412       553.5       292.2         0.9       261.3     239     204       257.1  1966  LowerHellHole                   RubiconRiver                  
       175    39.054  -121.312       725.5       730.8        -0.0        -5.3     236     204       128.9  1963  CampFarWest                     BearRiver                     
       180    38.721  -123.012       471.9       337.3         0.4       134.7     228     206       553.8  1982  WarmSpringsDam                  DryCreek                      
       182    38.712  -121.154      4946.1      4806.6         0.0       139.5     236     206      1102.7  1955  Folsom                          AmericanRiver                 
       185    38.512  -122.104      1651.1      1469.5         0.1       181.6     232     206      1963.6  1957  Monticello                      PutahCreek                    
       186    38.496  -120.212       681.5       439.2         0.6       242.3     239     206       175.0  1931  SaltSprings                     NorthForkofMokelumneRiver     
       190    38.254  -120.854      1531.3      1496.5         0.0        34.8     238     207       244.2  1929  Pardee                          MokelumneRiver                
       191    38.221  -121.021      1531.3      1607.1        -0.0       -75.8     238     207       514.5  1963  Camanche                        MokelumneRiver                
