        ID       lat       lon   area_CaMa  area_GRanD       error        diff      ix      iy     cap_mcm  year  damname                         rivname
       130    40.837  -120.787      -888.0        56.7        -8.0      -888.0     233     197        10.7  1965  HeathDam                        SlateCreek                    
       134    40.454  -120.946      -888.0       175.0        -8.0      -888.0     230     198        21.3  1891  MccoyFlat                       SusanRiver                    
       135    40.362  -123.429      -888.0       312.5        -8.0      -888.0     230     198        63.9  1962  RobertW.Matthews                MadRiver                      
       136    40.279  -121.004      -888.0       268.7        -8.0      -888.0     230     198        30.6  1924  IndianOle                       HamiltonCreek                 
       137    40.179  -120.604      -888.0       184.0        -8.0      -888.0     230     198        27.8  1964  Antelope                        IndianCreek                   
       139    40.112  -121.146      -888.0       201.8        -8.0      -888.0     235     199        61.4  1924  ButtValley                      ButtCreek                     
       140    39.896  -121.204      -888.0        74.3        -8.0      -888.0     235     199       127.0  1928  BucksStorage                    BucksCreek                    
       141    39.896  -120.188      -888.0       209.6        -8.0      -888.0     235     199        68.4  1961  Frenchman                       LittleLastChanceCreek         
       142    39.887  -120.479      -888.0       112.0        -8.0      -888.0     235     199       102.4  1966  GrizzlyValley                   BigGrizzlyCreek               
       143    39.854  -121.579      -888.0        23.4        -8.0      -888.0     235     199        14.2  1957  Paradise                        LittleButteCreek              
       145    39.721  -121.021      -888.0        66.8        -8.0      -888.0     231     201       114.7  1961  LittleGrassValley               SouthForkofFeatherRiver       
       147    39.579  -121.112      -888.0        62.3        -8.0      -888.0     230     203        80.2  1961  SlyCreek                        LostCreek                     
       149    39.512  -121.629      -888.0        15.2        -8.0      -888.0     235     202        14.6  1967  ThermalitoForebay               OffstreamFeatherRiver         
       150    39.512  -120.554      -888.0        97.5        -8.0      -888.0     235     202        64.8  1965  JacksonMeadows                  MiddleForkofYubaRiver         
       151    39.471  -120.104      -888.0       360.2        -8.0      -888.0     235     202       273.3  1970  Stampede                        LittleTruckeeRiver            
       152    39.446  -121.562      -888.0        57.7        -8.0      -888.0     235     202        70.3  1967  ThermalitoAfterbay              OffstreamFeatherRiver         
