ID,lat_alloc,lon_alloc,area_alloc,lat_ori,lon_ori,area_ori,area_diff,area_error,loc_km_diff,alloc_score,ix,ix,lat_mod,lon_mod,area_mod,Modify,Station Name,River Name,Country,File Date,Last Update,Downstream GRDC Station,Altitude
1134300,13.212,-5.904,99876.906,13.217,-5.9,101600,-1717.5,-0.017,1.239,0.261,10447,4607,13.217,-5.9,101600,,Douna,BANI,ML,2020/1/31,2018/6/28,1134450,270
1134310,0,0,0,12.02,-6.68,14300,-13702.755,-0.958,12.46,19.699,10405,4675,12.02,-6.68,14300,,Kouoro 2,BANIFING,ML,2020/1/31,2018/6/28,1134300,-999
1134320,0,0,0,12.02,-6.68,-999,-999,-999,-999,-999,-999,-999,12.02,-6.68,-999,,Kouoro 1,BANIFING,ML,2020/1/31,2018/6/28,1134310,-999
1134350,11.679,-5.587,3675.76,11.68,-5.58,3685,-9.19,-0.002,1.42,0.286,10465,4700,11.68,-5.58,3685,,Klela,LOTIO,ML,2020/1/31,2018/6/28,1134300,-999
1134400,13.954,-5.362,134226.766,13.95,-5.37,141000,-6774.188,-0.048,1.037,0.245,10478,4563,13.95,-5.37,141000,,Ke-Macina,"NIGER, RIVER",ML,2020/1/31,2018/6/28,1134460,-999
1134420,0,0,0,14.17,-5.02,-999,-999,-999,-999,-999,-999,-999,14.17,-5.02,-999,,Kara,DIAKA,ML,2020/1/31,2018/6/28,1134460,-999
1134450,13.379,-4.921,111677.148,13.38,-4.92,116000,-4322.938,-0.037,0.774,0.184,10505,4598,13.38,-4.92,116000,,Beneny-Kegny,BANI,ML,2020/1/31,2018/6/28,1134480,-999
1134460,14.146,-4.979,136995.828,14.15,-4.98,143300,-6300.297,-0.044,1.037,0.242,10502,4552,14.15,-4.98,143300,,Tilembeya,"NIGER, RIVER",ML,2020/1/31,2018/6/28,1134500,-999
1134480,14.021,-4.246,130175.844,14.02,-4.25,129000,1178.492,0.009,1.026,0.214,10546,4559,14.02,-4.25,129000,,Sofara,BANI,ML,2020/1/31,2018/6/28,1134505,-999
1134500,14.529,-4.204,278325.406,14.53,-4.22,281600,-3274.125,-0.012,1.407,0.29,10548,4529,14.53,-4.22,281600,,Nantaka (Mopti),"NIGER, RIVER",ML,2020/1/31,2018/6/28,1134630,260
1134505,0,0,0,14.53,-4.22,-999,-999,-999,-999,-999,-999,-999,14.53,-4.22,-999,,Mopti,BANI,ML,2020/1/31,2019/8/23,1134500,-999
1134600,0,0,0,15.4,-4.23,-999,-999,-999,-999,-999,-999,-999,15.4,-4.23,-999,,Akka,"NIGER, RIVER",ML,2020/1/31,2018/6/28,1134705,-999
1134620,0,0,0,16.42,-3.65,-999,-999,-999,-999,-999,-999,-999,16.42,-3.65,-999,,Goundam,TASSAKAN,ML,2020/1/31,2018/6/28,1134700,-999
1134630,0,0,0,16.13,-3.75,-999,-999,-999,-999,-999,-999,-999,16.13,-3.75,-999,,Tonka,"NIGER, RIVER",ML,2020/1/31,2018/6/28,1134700,-999
1134650,0,0,0,15.82,-3.7,-999,-999,-999,-999,-999,-999,-999,15.82,-3.7,-999,,Sarafere,BARA-ISSA,ML,2020/1/31,2018/6/28,1134630,-999
1134700,16.271,-3.379,345824.25,16.267,-3.383,340000,5827.938,0.017,1.231,0.263,10598,4424,16.267,-3.383,340000,,Dire,"NIGER, RIVER",ML,2020/1/31,2018/6/28,1134730,256
1134730,16.654,-3.029,348695.844,16.667,-3.033,342000,6761.219,0.02,1.312,0.282,10619,4401,16.667,-3.033,342000,,Koryoume,"NIGER, RIVER",ML,2020/1/31,2018/6/28,1134850,256
1134850,16.938,-0.587,375411.25,16.93,-0.58,348000,27390.312,0.079,1.393,0.357,10765,4385,16.93,-0.58,348000,,Tossaye,"NIGER, RIVER",ML,2020/1/31,2018/6/28,1134900,-999
1134900,15.671,0.496,489290.312,15.667,0.5,566000,-76709.938,-0.136,1.233,0.364,10830,4460,15.667,0.5,566000,,Ansongo,"NIGER, RIVER",ML,2020/1/31,2018/6/28,1234090,242
1147010,-4.288,15.296,3605689,-4.3,15.3,3475000,130693.75,0.038,1.254,0.288,11718,5658,-4.3,15.3,3475000,,Kinshasa,CONGO RIVER,CD,2020/1/31,2018/5/23,-999,-999
1147011,-0.346,25.454,931908.812,-0.35,25.45,948500,-16594.812,-0.017,1.255,0.264,12327,5422,-0.35,25.45,948500,,Ponthierville,CONGO RIVER,CD,2020/1/31,2018/5/23,1147013,413.6199951
1147012,-2.946,25.929,785003,-2.95,25.917,810440,-25436.125,-0.031,1.254,0.275,12356,5577,-2.95,25.917,810440,,Kindu,CONGO RIVER,CD,2020/1/31,2018/5/23,1147011,419.8599854
1147013,-4.279,15.329,3604575.25,-4.137,15.333,3747320,-142735.25,-0.038,15.286,3.087,11720,5657,-4.137,15.333,3747320,,Kinshasa-East (Leopoldville-Est),CONGO RIVER,CD,2020/1/31,2018/5/23,1147010,272.1199951
1147200,-3.213,17.363,744483,-3.183,17.383,737640,6846.188,0.009,3.92,0.793,11842,5593,-3.183,17.383,737640,,Kutu-Moke,KASAI,CD,2020/1/31,2018/5/23,1147013,302.7200012
1147201,-4.338,20.571,240173.172,-4.333,20.583,232560,7612.719,0.033,1.334,0.299,12035,5661,-4.333,20.583,232560,,Port-Francqui,KASAI,CD,2020/1/31,2018/5/23,1147200,365.019989
1159100,-28.754,17.721,788485.688,-28.758,17.721,866486,-78000.688,-0.09,0.391,0.152,11864,7126,-28.758,17.721,866486,,Vioolsdrif (27811003),ORANGE RIVER,ZA,2020/1/31,2019/2/14,-999,152
1159105,-28.079,16.896,884673.562,-28.076,16.898,985370,-100696.188,-0.102,0.6,0.205,11814,7085,-28.076,16.898,985370,,Sendelingsdrif,ORANGE RIVER,ZA,2020/1/31,2019/2/12,1159100,-999
1159110,-31.804,20.354,1505.193,-31.807,20.358,1502,2.912,0.002,0.111,0.024,12022,7309,-31.807,20.358,1502,,Hardeheuwel (27814003),VISRIVIER-OOS,ZA,2020/1/31,2019/2/12,1159130,1077
1159120,-31.813,20.579,1684.073,-31.815,20.578,1679,44.189,0.026,0.826,0.192,12035,7309,-31.815,20.578,1679,,Bonekraal (27814011),RENOSTERRIVIER,ZA,2020/1/31,2019/2/12,1159130,1140
1159130,-30.471,20.521,37829.93,-30.474,20.519,40073,-2243.207,-0.056,0.587,0.162,12032,7229,-30.474,20.519,40073,,Hol Pads Leegte (27814016),SAK,ZA,2020/1/31,2019/2/12,1159100,919
1159131,-31.363,21.321,13159.003,-31.366,21.322,13116,42.942,0.003,0.931,0.19,12080,7282,-31.366,21.322,13116,,Windhoek (27814013),SAK,ZA,2020/1/31,2018/5/22,1159130,1093
1159300,-28.463,21.246,354290.531,-28.458,21.239,364560,-10269.094,-0.028,0.294,0.081,12075,7108,-28.458,21.239,364560,,Upington,ORANGE RIVER,ZA,2020/1/31,2019/2/12,1159100,-999
1159301,-29.654,22.746,330382.75,-29.652,22.746,339310,-8922.156,-0.026,0.77,0.174,12165,7180,-29.652,22.746,339310,,Prieska (27815102),ORANGE RIVER,ZA,2020/1/31,2019/2/12,1159300,947
1159302,-29.163,23.696,99239.883,-29.162,23.696,99316,-73.547,-0.001,0.59,0.118,12222,7150,-29.162,23.696,99316,,Marksdrift (27815208),ORANGE RIVER,ZA,2020/1/31,2019/2/12,1159301,997
1159303,-29.813,24.438,91699,-29.815,24.438,92346,-635.75,-0.007,0.867,0.179,12267,7189,-29.815,24.438,92346,,Vluytjeskraal (27815205),ORANGE RIVER,ZA,2020/1/31,2018/5/22,1159302,1095
1159310,-29.146,26.321,339.324,-29.144,26.318,348,-7.541,-0.022,0.716,0.16,12380,7149,-29.144,26.318,348,,Shannon Valley (27817207),RENOSTERSPRUIT,ZA,2020/1/31,2019/2/12,1159301,1350
