        ID       lat       lon   area_CaMa  area_Input       error        diff      ix      iy     cap_mcm  year  damname                         rivname
      3183    58.721     6.088      -999.0        15.7      -999.0      -999.0    -999    -999        60.0  1971                       Stolsvatn                     Austerboelv
      3189    51.979     1.146      -999.0        22.3      -999.0      -999.0    -999    -999         9.1  1976                      AltonWater                  HolbrockStream
      3193    51.837     0.888      -999.0        36.6      -999.0      -999.0    -999    -999        25.7  1938                        Abberton                      LayerBrook
      3482    42.296     9.488      -999.0        56.7      -999.0      -999.0    -999    -999        11.5  1970                         Alesani                         Alesani
      3536    37.629    13.063      -999.0       135.3      -999.0      -999.0    -999    -999        32.8  1951                         Arancio                          Carboi
      3540    37.187    14.288      -999.0       235.8      -999.0      -999.0    -999    -999        14.0  1996                         Disueri                            Gela
      3548    36.829    10.988      -999.0        23.4      -999.0      -999.0    -999    -999         1.1  1964                      AbdelMonem                      AbdelMonem
      3552    36.737    10.921      -999.0       197.2      -999.0      -999.0    -999    -999        30.0  1986                           Lebna                           Lebna
      3563    36.537     2.304      -999.0       158.2      -999.0      -999.0    -999    -999        97.0  1992                     Boukourdane                     Boukourdane
      3947    42.712    27.521      -999.0        74.0      -999.0      -999.0    -999    -999        12.7  1969                          Aheloy                          Aheloy
      3996    41.112    29.571      -999.0       205.7      -999.0      -999.0    -999    -999       113.0  1989                          Darlik                          Darlik
      4025    39.096    16.521      -999.0        30.4      -999.0      -999.0    -999    -999        40.3  1976                        Passante                        Passante
      4040    35.037    25.696      -999.0        26.3      -999.0      -999.0    -999    -999        15.0  1986                       Bramianos                       Bramianos
      4210     0.000     0.000      -999.0         0.0      -999.0      -999.0    -999    -999         3.7   -99                           Wilgw                        Platberg
      4294     0.000     0.000      -999.0         0.0      -999.0      -999.0    -999    -999         1.2  1918                       Umziniana                        Mziniana
      4329   -33.963    22.513      -999.0        37.8      -999.0      -999.0    -999    -999         8.1  1980                       Tuinroete                           Swart
      4337   -34.096    22.004      -999.0        96.9      -999.0      -999.0    -999    -999         7.0  1981                   Hartebeeskuil                       Hartenbos
      4339   -34.171    18.904      -999.0        28.2      -999.0      -999.0    -999    -999        52.7  1980                  UpperSteenbras                       Steenbras
      4341   -34.188    18.854      -999.0        66.7      -999.0      -999.0    -999    -999        36.1  1980                       Steenbras                       Steenbras
      4466    34.746    33.088      -999.0       158.8      -999.0      -999.0    -999    -999        13.6  1968                      Yermasoyia                      Yermasoyia
      5165    13.212   100.979      -999.0        80.8      -999.0      -999.0    -999    -999       110.0  1975                        BangPhra                          NoName
      5177     1.404   103.671      -999.0         3.9      -999.0      -999.0    -999    -999        16.8  1981                           Murai                           Murai
      5178     1.404   103.804      -999.0        10.7      -999.0      -999.0    -999    -999        27.6  1968                         Seletar                         Seletar
      5179     1.371   103.812      -999.0         9.5      -999.0      -999.0    -999    -999        30.5  1975                     UpperPeirce                         Kaltang
      5266    34.937   118.963      -999.0       364.2      -999.0      -999.0    -999    -999       300.0  1959                      Xiaotashan                   Trib.XinshuHe
      5667    25.612   119.238      -999.0        44.7      -999.0      -999.0    -999    -999        38.9  1974                         Jianxin                       Wanjiaoxi
      5712    24.254   117.879      -999.0        64.0      -999.0      -999.0    -999    -999        52.0  1977                         Yangmei                       DengfanHe
      5719    23.971   117.563      -999.0        41.3      -999.0      -999.0    -999    -999        33.5  1976                         Zumalin                         Xugouxi
      5781    21.579   111.171      -999.0        30.5      -999.0      -999.0    -999    -999         1.4  1975                         Renshui                    LuoguangShui
      5783    23.329   116.538      -999.0        45.8      -999.0      -999.0    -999    -999        17.0  1958                            Hexi                       RongJiang
      5895    40.821   122.013      -999.0        28.1      -999.0      -999.0    -999    -999        10.0  1958                        Rongxing                   Trib.DaliaoHe
      5904    40.371   128.546      -999.0        38.0      -999.0      -999.0    -999    -999         3.5  1962                           Munam                      Namdaechon
      5918    39.171   125.479      -999.0        10.0      -999.0      -999.0    -999    -999        40.4  1976                        Pyongwon                         Hanchon
      5933    38.271   128.488      -999.0        26.0      -999.0      -999.0    -999    -999         0.6  1977                           Munam                          Chonan
      5967    36.379   126.629      -999.0        69.9      -999.0      -999.0    -999    -999        20.8  1988                       Chongchon                         Daechon
      5995    35.187   134.821      -999.0        48.3      -999.0      -999.0    -999    -999        18.0  1972                           Ikuno                        Ichikawa
      6002    35.029   127.713      -999.0        48.7      -999.0      -999.0    -999    -999        28.1  1978                             Suo                             Suo
      6008     0.000     0.000      -999.0         0.0      -999.0      -999.0    -999    -999         1.5  1953                     Kunikaneike                    Kunikanegawa
      6013    34.796   134.854      -999.0         1.7      -999.0      -999.0    -999    -999         9.4  1966                    Heisodaiichi                        Kakogawa
      6017    34.646   126.279      -999.0         1.9      -999.0      -999.0    -999    -999         3.6  1962                           Sansu                           Haemi
      6021    34.579   126.846      -999.0        12.4      -999.0      -999.0    -999    -999         0.9  1985                         Samjung                    Trib.Samjung
      6024    34.562   133.538      -999.0         7.1      -999.0      -999.0    -999    -999         1.0  1965                        Osakaike                       Osakagawa
      6029     0.000     0.000      -999.0         0.0      -999.0      -999.0    -999    -999         0.6  1944                   Namitakijiike                      Kurosegawa
      6031    34.429   132.329      -999.0        39.8      -999.0      -999.0    -999    -999         8.5  1981                          Uokiri                      Yahatagawa
      6032    34.421   133.163      -999.0         2.2      -999.0      -999.0    -999    -999         0.7  1924                      Hisayamada                    Kuribaragawa
      6038    34.304   132.563      -999.0        31.2      -999.0      -999.0    -999    -999         2.0  1917                           Honjo                        Nikogawa
      6042    34.237   133.879      -999.0         5.4      -999.0      -999.0    -999    -999         1.5  1663                           Niike                 Nakadaisokugawa
      6043    34.237   134.179      -999.0        13.5      -999.0      -999.0    -999    -999         0.8  1662                     Ishigamiike                       Nagaogawa
      6046    34.229   131.496      -999.0         7.5      -999.0      -999.0    -999    -999         5.2  1987                         Aratani                     Fushinogawa
      6048    34.221   134.296      -999.0         2.9      -999.0      -999.0    -999    -999         1.0  1966                           Ouchi                Tameshimatsugawa
