        ID       lat       lon  area_Input   area_CaMa       error        diff    Type     ix1   iy1     ix2   iy2       area1       area2
       238    43.631   142.690       58.29       58.02       -0.00       -0.27       0    1183   142    -999  -999        58.0      -999.0
       239    43.805   142.487      193.42      193.87        0.00        0.45       0    1170   132    -999  -999       193.9      -999.0
       240    26.713   128.165        9.10        9.65        0.06        0.56       0     311  1158    -999  -999         9.7      -999.0
       241    42.790   140.934      241.01      240.06       -0.00       -0.95       1    1077   194    -999  -999       240.1      -999.0
       242    42.885   140.752      656.14      656.03       -0.00       -0.10       0    1066   187    -999  -999       656.0      -999.0
       243    42.801   140.599     1280.54     1285.16        0.00        4.61       0    1056   192    -999  -999      1285.2      -999.0
       244    42.816   140.528     1325.00     1325.11        0.00        0.10       0    1053   191    -999  -999      1325.1      -999.0
       245    42.812   140.453     1386.52     1386.72        0.00        0.20       0    1048   192    -999  -999      1386.7      -999.0
       246    42.877   140.366     1634.08     1634.06       -0.00       -0.02       0    1042   188    -999  -999      1634.1      -999.0
       247    26.659   128.133       20.18       19.83       -0.02       -0.35       0     309  1161    -999  -999        19.8      -999.0
       248    26.658   128.128       22.21       22.71        0.02        0.50       0     308  1161    -999  -999        22.7      -999.0
       249    26.656   128.138       15.08       12.53       -0.17       -2.55       1     310  1161    -999  -999        12.5      -999.0
       250    42.508   140.191       48.83       50.16        0.03        1.33       0    1032   210    -999  -999        50.2      -999.0
       251    42.428   140.153      142.37      141.55       -0.01       -0.81       1    1030   214    -999  -999       141.6      -999.0
       252    42.410   140.105      206.71      206.70       -0.00       -0.01       0    1028   216    -999  -999       206.7      -999.0
       253    42.422   140.009      355.99      356.05        0.00        0.06       0    1022   215    -999  -999       356.1      -999.0
       254    42.416   139.922      613.92      613.99        0.00        0.07       0    1016   216    -999  -999       614.0      -999.0
       255    42.424   139.848      720.49      719.39       -0.00       -1.10       0    1012   215    -999  -999       719.4      -999.0
       256    42.499   140.231       17.68       17.31       -0.02       -0.37       1    1035   210    -999  -999        17.3      -999.0
       257    42.492   140.160       16.14       14.11       -0.13       -2.03       1    1030   210    -999  -999        14.1      -999.0
       258    26.617   128.059       14.15       11.52       -0.19       -2.62       1     304  1164    -999  -999        11.5      -999.0
       259    42.890   142.255      605.91      620.05        0.02       14.13       0    1156   187    -999  -999       620.0      -999.0
       260    42.759   142.137      944.11      944.56        0.00        0.45       0    1149   195    -999  -999       944.6      -999.0
       261    42.658   142.072     1051.81     1051.91        0.00        0.10       0    1145   200    -999  -999      1051.9      -999.0
       262    42.573   141.937     1224.91     1225.30        0.00        0.39       0    1137   206    -999  -999      1225.3      -999.0
       263    42.851   142.173      124.49      126.17        0.01        1.68       0    1150   189    -999  -999       126.2      -999.0
       264    26.616   128.019       11.37       11.41        0.00        0.04       0     302  1164    -999  -999        11.4      -999.0
       265    42.710   142.245      767.35      779.05        0.02       11.70       0    1155   198    -999  -999       779.1      -999.0
       266    42.584   142.141     1256.34     1256.76        0.00        0.42       0    1149   205    -999  -999      1256.8      -999.0
       267    42.515   142.031     1325.51     1335.22        0.01        9.70       0    1142   210    -999  -999      1335.2      -999.0
       268    42.681   142.387      236.07      237.32        0.01        1.24       0    1164   200    -999  -999       237.3      -999.0
       269    42.667   142.247      364.24      364.26        0.00        0.02       0    1155   200    -999  -999       364.3      -999.0
       270    43.323   142.942      538.20      538.17       -0.00       -0.03       0    1198   161    -999  -999       538.2      -999.0
       271    43.067   142.928      807.23      807.24        0.00        0.00       0    1196   176    -999  -999       807.2      -999.0
       272    43.013   142.935      856.13      859.71        0.00        3.58       0    1197   180    -999  -999       859.7      -999.0
       273    42.928   143.047     1528.32     1528.38        0.00        0.06       0    1203   185    -999  -999      1528.4      -999.0
       274    42.937   143.203     2674.48     2674.37       -0.00       -0.11       1    1212   184    -999  -999      2674.4      -999.0
       275    42.930   143.295     4470.25     4470.53        0.00        0.28       0    1218   185    -999  -999      4470.5      -999.0
       276    42.923   143.385     5084.66     5085.52        0.00        0.86       0    1224   185    -999  -999      5085.5      -999.0
       277    42.808   143.512     8163.79     8164.48        0.00        0.69       0    1231   192    -999  -999      8164.5      -999.0
       278    42.692   143.648     8361.32     8360.29       -0.00       -1.03       0    1238   199    -999  -999      8360.3      -999.0
       279    43.412   142.862      160.73      162.03        0.01        1.31       0    1192   156    -999  -999       162.0      -999.0
       280    43.412   142.878      211.12      211.43        0.00        0.31       0    1193   155    -999  -999       211.4      -999.0
       281    42.920   143.030      208.33      206.37       -0.01       -1.96       0    1202   186    -999  -999       206.4      -999.0
       282    42.802   142.958      146.74      149.84        0.02        3.09       0    1198   192    -999  -999       149.8      -999.0
       283    42.923   143.067      191.18      189.82       -0.01       -1.36       1    1204   186    -999  -999       189.8      -999.0
       284    43.055   143.085      333.58      333.51       -0.00       -0.07       1    1205   177    -999  -999       333.5      -999.0
       285    42.951   143.148      653.87      654.05        0.00        0.18       0    1209   183    -999  -999       654.1      -999.0
       286    43.190   143.224      535.91      509.56       -0.05      -26.35       1    1215   169    -999  -999       509.6      -999.0
       287    43.008   143.201      705.00      704.95       -0.00       -0.05       0    1212   180    -999  -999       704.9      -999.0
       288    42.933   143.209       36.90       37.16        0.01        0.26       0    1213   185    -999  -999        37.2      -999.0
       289    42.610   142.870       83.16       82.79       -0.00       -0.37       1    1193   203    -999  -999        82.8      -999.0
       290    42.580   142.931        3.79        3.85        0.02        0.06       0    1196   206    -999  -999         3.9      -999.0
       291    42.605   142.987      151.01      153.51        0.02        2.51       0    1200   204    -999  -999       153.5      -999.0
       292    42.642   143.090      182.96      183.75        0.00        0.79       0    1206   202    -999  -999       183.7      -999.0
       293    42.798   143.155      536.72      536.74        0.00        0.02       0    1210   193    -999  -999       536.7      -999.0
       294    42.840   143.185      627.40      627.61        0.00        0.22       0    1211   191    -999  -999       627.6      -999.0
       295    42.926   143.230      692.78      693.28        0.00        0.51       0    1214   185    -999  -999       693.3      -999.0
       296    42.699   143.058      152.20      152.61        0.00        0.41       0    1204   199    -999  -999       152.6      -999.0
       297    42.734   143.109      292.16      292.45        0.00        0.28       0    1207   197    -999  -999       292.4      -999.0
       298    42.692   143.063      103.91      107.07        0.03        3.16       0    1205   199    -999  -999       107.1      -999.0
       299    42.947   143.269      294.92      294.98        0.00        0.06       0    1216   183    -999  -999       295.0      -999.0
       300    42.913   143.283      128.40      128.39       -0.00       -0.00       0    1217   186    -999  -999       128.4      -999.0
       301    42.910   143.356      443.74      444.00        0.00        0.26       0    1222   186    -999  -999       444.0      -999.0
       302    43.359   143.608      723.44      722.43       -0.00       -1.01       0    1238   159    -999  -999       722.4      -999.0
       303    43.094   143.512     2302.30     2357.92        0.02       55.62       0    1231   175    -999  -999      2357.9      -999.0
       304    42.931   143.442     2697.21     2722.85        0.01       25.64       0    1227   185    -999  -999      2722.8      -999.0
       305    43.247   143.569      529.71      537.87        0.02        8.16       0    1235   166    -999  -999       537.9      -999.0
       306    42.920   143.476      112.92      113.56        0.01        0.64       0    1229   185    -999  -999       113.6      -999.0
       307    42.799   143.472      132.45      132.48        0.00        0.03       0    1229   193    -999  -999       132.5      -999.0
       308    42.774   143.597      101.27      101.73        0.00        0.46       0    1236   194    -999  -999       101.7      -999.0
       309    42.760   143.602      108.57      109.54        0.01        0.97       0    1237   195    -999  -999       109.5      -999.0
       310    42.734   143.673      604.56      604.88        0.00        0.31       0    1241   196    -999  -999       604.9      -999.0
       312    42.795   143.649      412.65      412.62       -0.00       -0.03       0    1239   192    -999  -999       412.6      -999.0
       313    43.555   144.358      330.50      332.56        0.01        2.06       0    1282   147    -999  -999       332.6      -999.0
       314    43.488   144.451      433.34      436.09        0.01        2.75       0    1288   151    -999  -999       436.1      -999.0
       315    43.402   144.528      665.63      665.77        0.00        0.14       0    1292   156    -999  -999       665.8      -999.0
       316    43.299   144.601      876.79      876.76       -0.00       -0.03       0    1297   162    -999  -999       876.8      -999.0
       317    43.240   144.537     1072.57     1072.96        0.00        0.38       0    1293   166    -999  -999      1073.0      -999.0
       318    43.085   144.427     1645.83     1645.61       -0.00       -0.23       0    1287   175    -999  -999      1645.6      -999.0
       319    43.056   144.398     2190.74     2192.38        0.00        1.64       0    1284   178    -999  -999      2192.4      -999.0
       320    43.008   144.366     2320.19     2320.83        0.00        0.64       0    1282   181    -999  -999      2320.8      -999.0
       321    43.483   144.463      139.26      139.02       -0.00       -0.24       1    1287   152    -999  -999       139.0      -999.0
       322    43.290   144.537      139.06      139.75        0.00        0.69       0    1293   163    -999  -999       139.8      -999.0
       323    43.220   144.431       97.81       98.58        0.01        0.76       0    1286   167    -999  -999        98.6      -999.0
       324    43.216   144.342      169.61      172.68        0.02        3.07       0    1281   168    -999  -999       172.7      -999.0
       325    43.158   144.326      123.38      125.83        0.02        2.45       0    1280   171    -999  -999       125.8      -999.0
       326    43.559   144.340      320.05      320.01       -0.00       -0.04       0    1280   147    -999  -999       320.0      -999.0
       327    43.060   144.399     2190.57     2190.56       -0.00       -0.02       0    1285   177    -999  -999      2190.6      -999.0
       328    43.170   144.487       73.02       73.23        0.00        0.21       0    1290   170    -999  -999        73.2      -999.0
       329    43.167   144.484     1307.59     1308.80        0.00        1.21       0    1289   171    -999  -999      1308.8      -999.0
