        ID       lat       lon        area    Type     ix1   iy1     ix2   iy2  elv_outlet   elv_gauge    elv_upst  dst_outlet    dst_upst
        67    43.366   142.359      1563.1       1    1161   159    1163   159      155.54      156.86      158.27        1.16        0.46
        68    43.560   142.044      2548.8       1    1144   146    1144   147       39.51       39.51       42.03        0.00        0.67
        69    43.685   142.178        65.9       1    1151   139    1151   140       79.06       90.15       96.45        1.96        0.46
        70    43.747   142.319        30.8       1    1160   136    1159   137      116.59      121.70      126.75        0.57        0.57
        71    43.876   142.252        67.8       1    1155   127    1154   127      128.40      130.10      134.97        0.46        1.15
        72    43.794   142.280       120.3       1    1157   133    1157   132       93.41       97.56      101.03        1.39        1.13
        73    43.824   142.328       173.4       1    1160   131    1161   130       99.35      100.81      103.27        1.04        0.93
        74    43.620   142.753       126.1       1    1186   143    1188   143      523.42      528.39      601.03        0.34        8.25
        75    43.631   142.690        58.3       1    1183   142    1184   141      453.45      453.45      514.93        0.00        2.36
        76    43.649   142.585       244.6       1    1176   142    1177   142      296.44      307.88      315.49        0.91        0.57
        77    43.694   142.501       259.9       1    1169   139    1172   140      177.59      208.53      217.70        3.72        0.67
        78    43.748   142.376       336.6       1    1163   136    1164   136      106.51      116.28      118.77        2.39        0.57
        79    43.805   142.487       193.4       1    1170   132    1171   132      132.62      133.24      134.82        0.34        0.67
        80    43.788   142.442       200.2       1    1168   133    1169   133      120.54      121.73      126.05        0.57        5.75
        81    43.776   142.372       269.3       1    1163   134    1164   134      102.29      104.14      107.85        0.67        2.34
        82    43.802   142.517       133.4       1    1172   132    1173   131      141.16      141.16      143.11        0.00        1.85
        83    43.870   142.463        56.6       1    1168   128    1168   127      155.58      155.58      162.20        0.00        1.85
        84    43.912   142.573       163.1       1    1174   126    1175   125      194.88      201.00      203.31        2.01        0.57
        85    43.949   142.605       135.5       1    1176   124    1177   123      215.00      227.80      230.68        2.38        0.57
        86    43.863   142.844        33.3       1    1191   128    1192   128      402.56      402.56      436.70        0.00        1.91
        87    43.465   142.463       123.7       1    1168   153    1168   152      193.29      201.84      203.87        1.82        0.46
        88    43.420   142.430       134.6       1    1166   155    1167   154      181.20      181.55      184.02        0.34        2.13
        89    43.356   142.383       343.4       1    1164   159    1165   158      161.95      161.95      162.66        0.00        0.34
        90    43.349   142.401       117.3       1    1165   160    1167   160      164.10      165.19      166.76        0.91        4.97
        91    43.363   142.415        77.8       1    1166   158    1167   158      167.13      167.61      169.18        0.57        3.66
        92    43.299   142.410       131.3       1    1165   163    1166   163      177.25      189.27      204.93        1.82        0.68
        93    43.216   142.501        88.9       1    1171   168    1171   167      283.42      290.47      295.46        0.91        1.97
        94    43.860   142.369        52.2       1    1163   129    1164   129      113.51      113.51      119.59        0.00        1.34
        95    43.665   142.403       196.0       1    1165   141    1166   141      146.85      149.28      154.44        0.67        0.67
        96    43.628   142.574        90.9       1    1175   143    1176   144      283.46      287.92      305.87        0.34        1.14
        97    43.594   142.487        67.1       1    1170   145    1171   145      241.38      241.50      244.79        0.34        0.34
        98    43.585   142.456       136.0       1    1168   145    1169   146      225.07      230.68      233.78        0.91        0.34
        99    43.644   142.397       411.3       1    1164   142    1164   143      152.13      154.37      160.96        0.46        1.91
       100    43.680   142.377       641.0       1    1163   140    1164   140      133.60      133.60      137.20        0.00        1.14
       101    43.728   142.399        57.6       2    1164   137    1165   138      125.45      135.40      139.03        1.61        0.93
       102    43.745   142.490        91.4       1    1170   136    1171   136      163.10      168.25      171.65        0.57        0.67
       103    43.838   142.522        35.1       1    1172   130    1173   130      153.71      157.59      162.13        1.03        1.67
       104    43.792   142.326        22.3       1    1160   133    1161   133       94.55       97.03       98.99        0.91        0.34
       105    43.645   143.066        45.1       2    1204   141    1204   143      784.26      806.55      837.22        1.83        1.85
       106    43.774   142.490        86.8       1    1170   134    1171   135      134.58      137.61      146.86        0.91        2.39
       107    43.809   142.466       212.4       1    1169   132    1170   132      129.55      130.39      132.62        1.14        3.69
       108    43.765   142.428        33.0       1    1166   135    1166   136      127.70      127.70      131.94        0.00        0.93
       109    42.984   142.398       286.1       1    1165   181    1165   180      332.13      332.13      336.53        0.00        1.91
       110    42.759   142.137       944.1       1    1149   195    1150   195       51.13       51.55       53.67        0.58        0.68
       111    42.658   142.072      1051.8       1    1145   200    1146   200       27.06       27.06       31.23        0.00        7.71
       112    42.574   141.937      1224.9       1    1137   206    1138   205        0.00        0.34        0.99        0.46        3.35
       113    42.977   142.399       169.5       1    1165   182    1166   182      328.12      328.12      335.50        0.00        2.48
       114    45.247   141.845        83.6       1    1131    46    1132    46       11.28       11.28       11.75        0.57        0.65
       115    45.391   141.773        53.6       2    1127    37    1126    38        1.05        1.05        1.05        1.25        1.13
       116    45.406   141.755       300.1       3    1126    36    -999  -999        0.00        0.00     -999.00        0.00     -999.00
       117    45.223   142.224       215.4       1    1154    47    1154    48        1.48        1.70        1.80        0.89        1.60
       118    44.992   142.295       369.9       1    1158    61    1157    61       11.23       12.92       14.92        0.90        2.27
       119    44.960   142.272       197.0       1    1156    63    1155    63       19.16       19.16       23.48        0.00        3.95
       120    44.828   142.301        20.4       1    1159    71    1159    72       92.67       95.83      102.48        0.90        1.94
       121    45.069   142.319       505.1       1    1160    56    1159    57        3.90        4.60        4.90        1.93        0.98
       122    44.969   142.291       118.7       1    1158    62    1158    63       19.20       21.87       23.75        0.66        0.93
       123    44.840   142.458        32.6       1    1167    70    1166    70       12.81       12.81       26.70        0.00        4.60
       124    44.837   142.651       287.3       1    1180    70    1179    71        0.00        6.03        6.03        1.14        0.46
       125    44.658   141.927       283.7       1    1136    81    1137    82       37.31       39.88       45.45        0.93        0.66
       126    44.313   141.774       202.1       1    1127   102    1128   102       18.88       18.90       20.53        0.33        1.95
       127    44.231   141.790       138.8       1    1128   107    1129   107       18.47       20.93       23.97        1.79        2.48
       128    44.256   141.713       150.6       1    1123   105    1124   106        5.32        8.33        8.33        2.27        0.57
       129    44.001   141.751       367.7       1    1125   120    1126   120        5.95        5.95        6.88        0.46        1.50
       130    45.327   142.113        33.9       1    1147    41    1146    41        4.10        5.42        6.45        0.33        1.13
       131    44.927   142.580        36.8       1    1175    65    1174    65        3.92        3.92        5.70        0.00        3.12
       132    44.708   142.803        97.1       1    1189    78    1188    79        0.00        5.80        8.90        0.57        0.66
       133    45.402   141.849        93.1       1    1132    36    1131    37        4.23        4.23        4.23        1.70        0.57
       134    45.394   141.706        11.5       1    1123    37    1123    38        0.00        4.03        4.03        0.33        0.93
       135    44.524   141.777        49.8       1    1127    89    1128    89        4.25        5.05        8.75        0.57        0.33
