        ID       lat       lon  area_Input   area_CaMa       error        diff    Type     ix1   iy1     ix2   iy2       area1       area2
   2588620    38.204   140.888      435.75      442.39        0.02        6.64       0    1073   468    -999  -999       442.4      -999.0
   2588630    35.637   139.529     1038.70     1031.68       -0.01       -7.02       0     992   622    -999  -999      1031.7      -999.0
   2588640    36.496   140.571     1435.48     1431.70       -0.00       -3.77       0    1055   571    -999  -999      1431.7      -999.0
   2588650    38.096   140.871     5267.59     5259.56       -0.00       -8.04       0    1073   475    -999  -999      5259.6      -999.0
   2588651    37.921   140.763     4119.73     4118.67       -0.00       -1.06       0    1066   485    -999  -999      4118.7      -999.0
   2588652    37.829   140.521     3652.92     3633.22       -0.01      -19.70       0    1052   491    -999  -999      3633.2      -999.0
   2588653    37.512   140.404     2225.32     2225.67        0.00        0.34       0    1045   510    -999  -999      2225.7      -999.0
   2588654    37.296   140.396      882.60      878.13       -0.01       -4.47       0    1045   523    -999  -999       878.1      -999.0
   2588655    38.062   140.771      775.10      779.11        0.01        4.01       0    1067   477    -999  -999       779.1      -999.0
   2588700    38.662   141.288     8047.42     8054.73        0.00        7.31       0    1098   440    -999  -999      8054.7      -999.0
   2588701    38.762   141.271     7888.49     7889.47        0.00        0.98       0    1097   435    -999  -999      7889.5      -999.0
   2588702    38.946   141.171     7060.71     7083.89        0.00       23.19       0    1091   424    -999  -999      7083.9      -999.0
   2588703    39.162   141.163     6023.73     6010.74       -0.00      -12.99       0    1091   411    -999  -999      6010.7      -999.0
   2588704    39.262   141.121     5465.15     5465.82        0.00        0.67       0    1088   405    -999  -999      5465.8      -999.0
   2588705    39.379   141.129     4406.56     4406.52       -0.00       -0.04       0    1088   398    -999  -999      4406.5      -999.0
   2588706    39.829   141.154     1117.92     1077.48       -0.04      -40.44       0    1090   371    -999  -999      1077.5      -999.0
   2588707    39.387   141.154      956.79      956.33       -0.00       -0.46       0    1090   398    -999  -999       956.3      -999.0
   2588708    39.287   141.071      883.66      888.02        0.00        4.36       0    1086   403    -999  -999       888.0      -999.0
   2588709    38.579   140.979      403.86      396.84       -0.02       -7.02       0    1079   445    -999  -999       396.8      -999.0
   2588800    35.087   138.904      577.61      577.34       -0.00       -0.26       0     955   655    -999  -999       577.3      -999.0
   2588810    35.429   133.371      861.14      858.27       -0.00       -2.87       0     623   634    -999  -999       858.3      -999.0
   2588820    35.362   132.788      914.56      914.09       -0.00       -0.47       0     588   639    -999  -999       914.1      -999.0
   2588830    34.671   131.821     1023.42      998.34       -0.02      -25.08       1     529   682    -999  -999       998.3      -999.0
   2588850    35.504   134.213     1053.39     1101.63        0.05       48.24       0     673   630    -999  -999      1101.6      -999.0
   2588900    34.962   138.371      530.54      530.00       -0.00       -0.54       0     923   664    -999  -999       530.0      -999.0
   2588910    34.887   138.113     1158.52     1161.44        0.00        2.93       0     907   667    -999  -999      1161.4      -999.0
   2588920    34.462   136.654      779.14      781.59        0.00        2.46       0     820   692    -999  -999       781.6      -999.0
   2589100    34.871   134.104     1669.97     1673.90        0.00        3.93       0     667   668    -999  -999      1673.9      -999.0
   2589101    34.712   134.088     1991.99     1991.16       -0.00       -0.84       0     666   679    -999  -999      1991.2      -999.0
   2589200    34.996   132.288     3809.40     3823.66        0.00       14.26       0     558   661    -999  -999      3823.7      -999.0
   2589201    34.946   132.646     2887.33     2888.05        0.00        0.72       0     579   664    -999  -999      2888.0      -999.0
   2589202    34.804   132.838     1991.61     1991.62        0.00        0.01       0     591   672    -999  -999      1991.6      -999.0
   2589210    36.979   137.871      688.32      688.75        0.00        0.43       0     893   542    -999  -999       688.8      -999.0
   2589220    36.812   137.588      625.81      628.66        0.00        2.84       0     876   552    -999  -999       628.7      -999.0
   2589230    36.737   137.046     1163.26     1101.20       -0.05      -62.06       0     843   557    -999  -999      1101.2      -999.0
   2589240    38.129   139.463     1085.46     1076.53       -0.01       -8.93       0     989   473    -999  -999      1076.5      -999.0
   2589250    37.121   138.263      731.02      747.00        0.02       15.99       0     916   533    -999  -999       747.0      -999.0
   2589300    34.487   133.346      850.44      852.69        0.00        2.25       0     622   692    -999  -999       852.7      -999.0
   2589310    34.712   133.679     1982.68     1983.55        0.00        0.87       0     641   678    -999  -999      1983.5      -999.0
   2589320    34.737   133.963     1574.10     1575.99        0.00        1.89       0     658   676    -999  -999      1576.0      -999.0
   2589350    34.254   135.313     1575.61     1573.81       -0.00       -1.80       0     737   705    -999  -999      1573.8      -999.0
   2589351    34.296   135.529     1083.68     1086.43        0.00        2.75       0     752   703    -999  -999      1086.4      -999.0
   2589360    34.579   135.621      964.64      950.57       -0.01      -14.07       0     758   686    -999  -999       950.6      -999.0
   2589370    34.804   134.921     1652.74     1653.06        0.00        0.32       0     716   672    -999  -999      1653.1      -999.0
   2589380    34.804   134.563      783.48      783.46       -0.00       -0.02       0     694   672    -999  -999       783.5      -999.0
   2589390    36.104   136.213     1308.33     1310.56        0.00        2.23       0     793   594    -999  -999      1310.6      -999.0
   2589400    36.704   137.204     2703.99     2685.84       -0.01      -18.15       0     852   559    -999  -999      2685.8      -999.0
   2589410    35.304   135.129     1349.09     1353.99        0.00        4.89       0     728   642    -999  -999      1354.0      -999.0
   2589420    35.479   134.804      835.97      836.50        0.00        0.53       0     708   632    -999  -999       836.5      -999.0
   2589500    37.312   138.804     9747.53     9748.54        0.00        1.01       0     949   522    -999  -999      9748.5      -999.0
   2589501    37.246   138.813     8204.23     8208.00        0.00        3.78       0     949   526    -999  -999      8208.0      -999.0
   2589502    36.729   138.313     6516.78     6431.55       -0.01      -85.24       0     919   557    -999  -999      6431.5      -999.0
   2589503    36.529   138.113     2566.05     2529.35       -0.01      -36.71       0     908   570    -999  -999      2529.3      -999.0
   2589504    36.371   138.288     2027.84     2027.89        0.00        0.05       1     918   578    -999  -999      2027.9      -999.0
   2589505    37.237   138.938     1363.60     1361.52       -0.00       -2.08       0     957   526    -999  -999      1361.5      -999.0
   2589506    36.621   138.138     2760.21     2758.82       -0.00       -1.39       0     909   563    -999  -999      2758.8      -999.0
   2589550    37.737   139.271     6991.44     6991.83        0.00        0.38       0     977   496    -999  -999      6991.8      -999.0
   2589551    37.612   139.821     2717.13     2718.58        0.00        1.46       0    1010   504    -999  -999      2718.6      -999.0
   2589552    37.379   139.929      844.22      841.81       -0.00       -2.40       0    1016   519    -999  -999       841.8      -999.0
   2589600    40.804   140.438     1704.70     1693.90       -0.01      -10.80       0    1047   312    -999  -999      1693.9      -999.0
   2589610    39.371   140.071      909.72      910.55        0.00        0.83       0    1024   398    -999  -999       910.6      -999.0
   2589620    38.837   139.821      692.68      688.16       -0.01       -4.53       0    1011   431    -999  -999       688.2      -999.0
   2589700    38.754   140.071     6113.61     6106.95       -0.00       -6.66       0    1026   435    -999  -999      6106.9      -999.0
   2589701    38.879   139.913     6527.42     6550.94        0.00       23.52       0    1013   428    -999  -999      6550.9      -999.0
   2589702    38.646   140.346     4264.74     4262.27       -0.00       -2.47       0    1041   442    -999  -999      4262.3      -999.0
   2589703    38.337   140.288     2112.79     2091.61       -0.01      -21.18       0    1037   460    -999  -999      2091.6      -999.0
   2589704    38.062   140.071      983.48      984.01        0.00        0.53       0    1025   477    -999  -999       984.0      -999.0
   2589705    38.804   140.221      563.25      562.26       -0.00       -0.98       0    1034   432    -999  -999       562.3      -999.0
   2589750    39.612   140.154     4041.04     4038.70       -0.00       -2.34       0    1030   384    -999  -999      4038.7      -999.0
   2589751    39.487   140.421     3362.85     3359.66       -0.00       -3.19       0    1045   391    -999  -999      3359.7      -999.0
   2589752    39.454   140.463     1891.36     1855.60       -0.02      -35.76       0    1049   394    -999  -999      1855.6      -999.0
   2589753    39.279   140.404     1230.90     1205.79       -0.02      -25.11       0    1044   404    -999  -999      1205.8      -999.0
   2589754    39.546   140.529     1103.27     1106.54        0.00        3.27       0    1052   388    -999  -999      1106.5      -999.0
   2589800    40.204   140.238     3757.62     3757.76        0.00        0.13       0    1035   348    -999  -999      3757.8      -999.0
   2589801    40.221   140.371     2100.95     2098.37       -0.00       -2.58       1    1044   347    -999  -999      2098.4      -999.0
   2589802    40.221   140.671     1173.47     1174.06        0.00        0.59       0    1061   347    -999  -999      1174.1      -999.0
   2590100    33.321   130.496     2280.55     2283.88        0.00        3.33       0     450   762    -999  -999      2283.9      -999.0
   2590101    33.346   130.838     1440.34     1440.19       -0.00       -0.15       0     471   760    -999  -999      1440.2      -999.0
   2590200    33.746   130.729      696.62      707.18        0.02       10.56       0     464   736    -999  -999       707.2      -999.0
   2590210    33.362   130.013      262.87      264.04        0.00        1.16       0     421   759    -999  -999       264.0      -999.0
   2590220    32.937   130.588      895.28      896.88        0.00        1.60       1     456   783    -999  -999       896.9      -999.0
   2590230    31.862   130.338     1329.61     1329.82        0.00        0.21       0     441   849    -999  -999      1329.8      -999.0
   2590300    32.462   130.663     1851.58     1852.69        0.00        1.11       0     460   813    -999  -999      1852.7      -999.0
   2590301    32.212   130.771     1144.20     1143.72       -0.00       -0.48       0     467   828    -999  -999      1143.7      -999.0
   2590400    31.954   131.396     2124.82     2127.80        0.00        2.98       0     504   843    -999  -999      2127.8      -999.0
   2590401    31.862   131.113      876.73      877.77        0.00        1.04       0     487   849    -999  -999       877.8      -999.0
   2591100    32.987   132.929     1800.05     1800.50        0.00        0.45       0     596   781    -999  -999      1800.5      -999.0
   2591200    33.571   133.188      946.22      953.81        0.01        7.59       0     612   746    -999  -999       953.8      -999.0
   2591201    33.546   133.421     1453.67     1454.06        0.00        0.39       0     625   748    -999  -999      1454.1      -999.0
   2591210    33.804   132.729      453.84      445.97       -0.02       -7.87       0     584   732    -999  -999       446.0      -999.0
   2591220    33.504   132.554     1008.98     1008.83       -0.00       -0.15       0     574   750    -999  -999      1008.8      -999.0
   2591230    33.937   134.621      785.44      785.10       -0.00       -0.34       0     700   724    -999  -999       785.1      -999.0
   2591800    34.062   134.196     2750.80     2676.60       -0.03      -74.20       0     671   717    -999  -999      2676.6      -999.0
   2591801    34.087   134.354     3006.52     2974.16       -0.01      -32.35       0     680   716    -999  -999      2974.2      -999.0
   2591802    34.029   133.838     1929.35     1931.03        0.00        1.68       0     650   719    -999  -999      1931.0      -999.0
   2677300    37.296   127.646    11085.49     -999.00     -999.00     -999.00      -9    -999  -999    -999  -999      -999.0      -999.0
   2694100    36.462   127.129     7199.90     -999.00     -999.00     -999.00      -9    -999  -999    -999  -999      -999.0      -999.0
   2694200    35.029   126.738     2063.86     -999.00     -999.00     -999.00      -9    -999  -999    -999  -999      -999.0      -999.0
   2694450    36.004   128.396    11085.16     -999.00     -999.00     -999.00      -9    -999  -999    -999  -999      -999.0      -999.0
   2905800    43.412   133.463      289.07     -999.00     -999.00     -999.00      -9    -999  -999    -999  -999      -999.0      -999.0
   2906850    44.396   134.246     3140.67     -999.00     -999.00     -999.00      -9    -999  -999    -999  -999      -999.0      -999.0
