        ID       lat       lon   area_CaMa  area_GRanD       error        diff      ix      iy     cap_mcm  year  damname                         rivname
      6048    34.221   134.296         1.0         2.9        -0.6        -1.9     677     708         1.0  1966  Ouchi                           Tameshimatsugawa              
      6049    34.196   133.979        33.6        33.3         0.0         0.3     659     709         9.8  2008  Nagara                          Ayagawa                       
      6050    34.171   131.771        32.6        29.2         0.1         3.4     527     710        20.6  1981  Shimajigawa                     Shimajigawa                   
      6051    34.171   133.904        91.0        87.9         0.0         3.1     654     710         1.0  1633  Kamekoshiike                    Otanigawa                     
      6052    34.162   133.771         4.4         3.3         0.3         1.1     647     711         1.0  1592  Iwaseike                        Takasegawa                    
      6053    34.162   133.871        13.5        13.7        -0.0        -0.2     653     711        15.4  1961  Mannoike                        Kanakuragawa                  
      6054    34.162   134.071        28.0        28.2        -0.0        -0.1     665     711         8.2  1952  Naiba                           Naibagawa                     
      6055    34.154   131.029         7.8         6.2         0.3         1.6     482     711         1.6  1980  Utanokawa                       Utanokawa                     
      6056    34.146   131.829       150.2       149.1         0.0         1.1     530     712         7.0  1940  Kodo                            Nishikigawa                   
      6057    34.137   131.046       194.5       184.8         0.1         9.6     483     712         2.9  1990  Yunohara                        Koyagawa                      
      6058    34.137   131.904       222.5       204.0         0.1        18.5     535     712        95.0  1965  Sugano                          Nishikigawa                   
      6059    34.112   131.796        13.0        13.7        -0.0        -0.7     528     713        13.7  1979  Kawakami                        Tondagawa                     
      6060    34.104   130.954         4.1         3.7         0.1         0.4     478     714         1.3  1989  Utsui                           Yamasegawa                    
      6061    34.087   131.904        17.7        17.7         0.0         0.1     535     715         4.5  1963  Nukumi                          Suetakegawa                   
      6062    34.079   131.279       314.4       317.4        -0.0        -3.0     498     716        23.8  1948  Kotogawa                        Kotogawa                      
      6063    34.079   133.688        32.0        32.6        -0.0        -0.6     642     716         0.9  1470  Otaniike                        Izekigawa                     
      6064    34.079   130.946         2.3         1.7         0.3         0.6     477     716         0.9  1928  Utsuidaini                      Ayaragigawa                   
      6065    34.062   130.954         2.3         5.8        -0.6        -3.5     477     716         1.0  1906  Utsuidaiichi                    Ayaragigawa                   
      6067    34.054   131.871        45.2        45.0         0.0         0.1     533     717        19.6  1991  Suetakegawa                     Suetakegawa                   
      6068    34.012   131.304         3.0         2.3         0.3         0.6     499     720         1.0  1963  Mannenike                       NoName                        
      6069    33.996   132.929        38.2        38.6        -0.0        -0.5     596     721         9.9  1970  Tamagawa                        Soshagawa                     
      6070    33.962   133.921        27.7        25.6         0.1         2.1     656     723        14.3  1953  Matsuogawa                      Matsuogawa                    
      6071    33.937   133.571       171.4       169.9         0.0         1.4     635     725        32.2  1953  Yanase                          Dozangawa                     
      6072    33.912   130.729         2.1         1.6         0.3         0.5     463     726         5.3  1960  Tondadaini                      NoName                        
      6073    33.904   130.738         1.6         1.5         0.0         0.0     466     726         5.0  1968  Tondadaiichi                    NoName                        
      6074    33.879   132.838        75.1        73.9         0.0         1.2     591     728        12.8  1972  Ishitegawa                      Ishitegawa                    
      6075    33.871   133.163       103.1       101.4         0.0         1.8     610     728        36.0  1972  Kurose                          Kamogawa                      
      6078    33.812   134.363       542.4       495.1         0.1        47.3     682     732        54.3  1955  Nagayasuguchi                   Nakagawa                      
      6079    33.804   130.754        11.2        11.2        -0.0        -0.0     466     732         7.3  1955  Hata                            Kurokawa                      
      6080    33.796   130.521         3.0         4.4        -0.3        -1.4     452     734         1.3  1969  Oi                              Tsurikawa                     
      6081    33.762   133.338       141.4       141.6        -0.0        -0.2     620     735        24.0  1939  Ohashi                          Yoshinogawa                   
      6082    33.762   130.846         8.9        10.5        -0.1        -1.5     471     736        13.6  1973  Masubuchi                       Murasakigawa                  
      6083    33.754   133.546       415.0       411.2         0.0         3.8     633     735       316.0  1977  Sameura                         Yoshinogawa                   
      6085    33.729   133.288        73.0        71.7         0.0         1.3     618     737        31.9  1949  Nagasawa                        Yoshinogawa                   
      6086    33.721   133.029        16.6        16.4         0.0         0.2     602     737        28.3  1965  Omogo                           Wariishikawa                  
      6087    33.704   133.863       298.7       297.9         0.0         0.8     652     738        49.1  1956  Nagase                          Mononobegawa                  
      6088    33.696   133.254        26.6        23.0         0.2         3.6     616     739        19.1  1959  Omorigawa                       Omorigawa                     
      6089    33.687   130.621        35.3        30.6         0.2         4.7     458     739        13.2  1965  Rikimaru                        Yakiyamagawa                  
      6090    33.679   133.654        52.2        52.3        -0.0        -0.1     640     740        46.3  1963  Ananaigawa                      Ananaigawa                    
      6091    33.612   130.488         1.2         0.9         0.3         0.3     450     744         1.1  1710  Kayoichoike                     NoName                        
      6092    33.612   133.479        80.5        79.8         0.0         0.8     630     744         9.4  1966  Kagami                          Kagamigawa                    
      6094    33.596   134.113       103.2       100.7         0.0         2.5     667     745       104.6  1970  Yanase                          Naharigawa                    
