ID,lat_mod,lon_mod,area_mod,rivname,locname,,
116,45.405,141.754,300.135,声問川,声問橋,,
117,45.223,142.226,215.675,猿払川,猿払川,,
118,44.992,142.294,369.93,頓別川,頓別川寿,,
119,44.961,142.272,197.581,頓別川,頓別川中頓別,,
120,44.828,142.301,20.394,頓別川,頓別川小頓別,,
121,45.068,142.319,505.077,頓別川,頓別川常盤,,
122,44.969,142.291,118.66,兵知安川,兵知安川,,
123,44.84,142.458,32.579,オムロシュベツ川,オムロシュベツ川,,
124,44.837,142.649,287.331,徳志別川,徳志別川,,
125,44.657,141.926,283.672,遠別川,遠別川,,
126,44.313,141.774,202.066,羽幌川,羽幌川,,
127,44.231,141.79,138.803,古丹別川,古丹別川,,
128,44.256,141.713,150.645,三毛別川,三毛別川,,
129,44,141.75,367.718,小平蘂川,沖内,,
130,45.327,142.114,33.904,鬼志別川,鬼志別川,,
131,44.928,142.58,36.75,エサシウエンナイ川,エサシウエンナイ川,,
132,44.707,142.805,97.087,音標川,音標川,,
133,45.403,141.849,93.338,増幌川,増幌川,,
134,45.394,141.706,11.481,ウェンナイ川,ウエンナイ川,,
135,44.524,141.777,49.804,初山別川,初山別川,,
136,44.422,141.791,43.876,茂築別川,七線,,
137,44.154,141.664,30.154,温寧川,温寧川,,
138,43.872,141.596,71.765,信砂川,信砂川,,
139,43.848,141.516,1.877,暑寒別川,暑寒別川,,
140,44.84,142.476,214.852,北見幌別川,北見幌別川,,
141,44.192,143.076,251.743,渚滑川,滝ノ上,,
142,44.25,143.259,996.659,渚滑川,上渚滑,,
143,44.349,143.273,1203.763,渚滑川,ウツツ橋,,
144,44.38,143.301,1217.101,渚滑川,渚滑橋,,
145,44.191,143.083,23.799,シュウトルマップ川,シュウトルマップ,,
146,44.006,143.34,808.969,湧別川,湧別川,,
147,44.053,143.519,956.381,湧別川,遠軽,,
148,44.099,143.544,72.658,湧別川,開盛,,
149,44.2,143.591,1461.791,湧別川,中湧別,,
150,43.919,143.533,174.088,生田原川,生田原川中央橋,,
151,44.053,143.544,276.352,生田原川,対遠橋,,
152,43.605,143.338,46.28,常呂川,峰映,,
153,43.634,143.496,169.221,常呂川,常呂川,,
154,43.682,143.599,422.324,常呂川,置戸,,
155,43.754,143.84,664.666,常呂川,上常呂,,
156,43.8,143.911,1403.769,常呂川,北見,,
157,43.921,143.968,1549.087,常呂川,忠志,,
158,44.013,143.986,1846.518,常呂川,太茶苗,,
159,44.057,144.035,1895.452,常呂川,上川沿,,
160,44.119,144.072,1909.323,常呂川,河口,,
161,43.982,143.946,6.711,日吉川,日吉川,,
162,43.9,143.896,94.885,仁頃川,仁頃川,,
163,43.759,143.512,304.971,無加川,温根湯,,
164,43.788,143.621,422.28,無加川,留辺蘂,,
165,43.793,143.765,467.221,無加川,相ノ内,,
166,43.789,143.89,564.549,無加川,北光社,,
167,43.785,143.838,89.991,訓子府川,豊地,,
168,43.614,143.343,52.209,上ホロカトコロ川,鹿ﾉ湯,,
169,43.808,143.846,11.65,小町川,小町川,,
170,43.711,144.009,570.056,網走川,津別,,
171,43.648,143.991,156.847,網走川,本岐,,
172,43.836,144.098,809.104,網走川,美幌,,
173,43.898,144.132,1086.068,網走川,本郷,,
174,43.958,144.199,123.586,網走川,川尻漁場,,
175,44.005,144.231,1364.869,網走川,大曲,,
176,43.913,144.179,17.048,トマップ川,トマップ川,,
177,43.821,144.141,178.602,美幌川,美幌川,,
178,43.829,144.122,203.762,美幌川,美幌橋,,
179,43.698,144.04,148.317,津別川,津別川,,
180,43.818,144.108,11.861,魚無川,魚無川,,
181,43.488,144.451,433.336,釧路川,弟子屈,,
182,43.3,144.601,876.789,釧路川,標茶,,
183,43.086,144.427,1645.831,釧路川,岩保木,,
184,42.993,144.469,80.221,釧路川,別保川（釧路川）,,
185,42.986,144.396,165.767,釧路川,釧路川旭橋,,
186,43.056,144.397,2190.74,新釧路川,広里,,
187,43.007,144.367,2320.189,新釧路川,鳥取,,
188,43.014,144.362,126.117,仁々志別川,仁々志別川,,
189,43.237,144.327,156.248,雪裡川,雪裡川,,
190,43.217,144.343,169.559,雪裡川,雪裡,,
191,43.22,144.432,97.813,久著呂川,下久著呂,,
192,43.289,144.537,139.06,オソベツ川,下オソベツ,,
193,43.481,144.451,138.548,鐺別川,鐺別川,,
194,43.157,144.325,123.382,幌呂川,幌呂,,
195,42.993,144.469,80.221,別保川,別保川,,
196,43.418,142.866,6.323,十勝川,シイ十勝,,
197,43.323,142.943,538.196,十勝川,ニペソツ,,
198,43.068,142.926,807.235,十勝川,共栄橋,,
199,43.013,142.938,856.128,十勝川,熊牛,,
200,42.931,143.047,1.031,十勝川,芽室太,,
201,42.934,143.203,2674.479,十勝川,帯広,,
202,42.927,143.291,3.411,十勝川,十勝中央大橋,,
203,42.92,143.384,5084.656,十勝川,千代田,,
204,42.808,143.512,8163.789,十勝川,茂岩,,
205,42.69,143.648,8361.323,十勝川,大津,,
206,42.774,143.597,101.267,下頃辺川,大平橋,,
207,42.734,143.674,604.564,浦幌十勝川,十勝太,,
208,42.796,143.65,412.652,浦幌川,万年橋,,
209,42.929,143.654,250.448,浦幌川,浦幌川留真,,
210,43.017,143.631,169.586,浦幌川,浦幌川活平,,
211,42.796,143.654,412.737,浦幌川,浦幌川万年,,
212,42.799,143.472,132.445,牛首別川,農野牛,,
213,42.755,143.426,39.727,牛首別川,牛首別川,,
214,43.094,143.516,2302.048,利別川,東橋,,
215,42.931,143.443,2697.207,利別川,利別,,
216,43.244,143.557,928.985,利別川,利別川足寄,,
217,43.464,143.738,205.393,利別川,利別川陸別,,
218,43.39,143.684,619.183,利別川,利別川大誉地,,
219,42.91,143.356,443.74,猿別川,止若,,
220,42.786,143.322,261.924,猿別川,猿別川,,
221,42.913,143.282,128.395,途別川,千住12号橋,,
222,42.879,143.235,110.027,途別川,途別川,,
223,42.947,143.27,1.623,士幌川,旭橋,,
224,43.081,143.29,55.255,士幌川,士幌川,,
225,42.611,142.87,82.789,札内川,竜潭上流,,
226,42.58,142.935,3.794,札内川,札内ダム直下,,
227,42.603,142.987,151.005,札内川,南札内,,
228,42.642,143.092,182.958,札内川,上札内,,
229,42.798,143.157,536.718,札内川,第二大川橋,,
230,42.84,143.188,18.62,札内川,南帯橋,,
231,42.926,143.229,692.777,札内川,札内,,
232,42.933,143.209,36.899,帯広川,東3条,,
233,42.89,143.12,111.918,帯広川,帯広川北伏古,,
234,42.922,143.135,149.475,帯広川,帯広川西帯広,,
235,42.804,143.066,77.808,帯広川,帯広川上帯広,,
236,42.929,143.202,34.259,帯広川,帯広川西1条,,
237,43.186,143.225,1.611,音更川,士幌,,
238,43.007,143.2,704.999,音更川,音更,,
239,43.238,143.273,494.473,音更川,音更川,,
240,42.951,143.147,653.873,然別川,国見橋,,
241,43.094,142.984,3.439,然別川,然別川,,
242,42.923,143.066,191.177,美生川,美生橋,,
243,42.912,143.061,188.481,美生川,美生川,,
244,42.91,143.039,21.069,ピウカ川,ピウカ川,,
245,42.914,143.028,202.795,芽室川,芽室川,,
246,43.086,142.833,153.836,佐幌川,新得,,
247,43.412,142.878,211.122,トムラウシ川,トムラウシ,,
248,42.92,143.476,112.903,十弗川,東台1号橋,,
249,42.931,143.497,108.917,十弗川,十弗川,,
250,43.209,143.371,53.697,居辺川,居辺川,,
251,43.122,143.616,61.456,本別川,本別川,,
252,43.132,143.585,608.569,美里別川,美里別川,,
253,43.243,143.563,538.05,足寄川,足寄川,,
254,43.306,143.709,121.542,螺湾川,螺湾川,,
255,43.467,143.751,126.952,陸別川,陸別川,,
256,42.895,143.197,21.274,売買川,売買川,,
257,42.699,143.058,152.203,戸蔦別川,戸蔦橋,,
258,42.732,143.109,292.112,戸蔦別川,中島橋,,
259,42.928,143.141,149.926,新帯広川,新帯広川,,
260,42.952,143.198,8.34,鈴蘭川,鈴蘭川,,
261,43.007,142.872,32.292,ペケレベツ川,ペケレベツ川,,
262,43.082,142.82,28.051,パンケシントク川,パンケ新得川,,
263,42.921,143.188,17.142,ウツベツ川,ウツベツ川,,
264,42.924,143.158,9.798,柏林台川,柏林台川,,
265,43.007,144.701,108.903,尾幌川,尾幌川,,
266,44.65,142.859,269.346,幌内川,幌内,,
267,44.473,143.116,294.424,興部川,興部,,
268,44.438,143.121,1.1,藻興部川,第二,,
