ID,lat_mod,lon_mod,area_mod,rivname,locname
135,43.789,141.928,1156,雨竜川,達布橋
136,43.73,141.914,1425,雨竜川,北竜橋
137,43.674,141.915,1661,雨竜川,旧雨竜橋
138,43.684,141.913,1661,雨竜川,雨竜橋
139,43.166,142.586,377,空知川,幾寅
140,43.364,142.358,1541,空知川,学田
141,43.441,142.281,1662.1,空知川,空知大滝
142,43.56,142.044,2531,空知川,赤平
143,43.548,141.911,2626,空知川,空知大橋
144,43.425,141.863,60,奈井江川,中奈井江
145,43.342,141.82,93,美唄川,美唄
146,43.288,141.714,112,旧美唄川,大豊橋
147,43.251,141.676,144,旧美唄川,第1旧美唄橋
148,43.215,142.056,56,幾春別川,奥桂
149,43.256,141.917,228,幾春別川,藤松
150,43.24,141.866,276,幾春別川,市来知
151,43.207,141.726,325,幾春別川,西川向
152,42.946,141.875,792,夕張川,円山
153,43.027,141.778,868,夕張川,由仁
154,43.057,141.769,1090,夕張川,栗山（廃止）
155,43.089,141.688,1116,夕張川,清幌橋
156,42.775,141.4,223,千歳川,支笏湖
157,42.808,141.569,279,千歳川,ふ化場
158,42.846,141.67,367,千歳川,西越
159,42.943,141.651,618,千歳川,舞鶴
160,42.983,141.623,848,千歳川,南6号樋門
161,43.02,141.578,1142,千歳川,裏の沢
162,43.105,141.569,1269,千歳川,東光
163,42.873,141.153,65,豊平川,本流上流
164,42.964,141.159,228,豊平川,定山渓市街
165,42.974,141.173,203,白井川,一の沢
166,42.966,141.284,13,豊平川,白川
167,42.966,141.322,550,豊平川,石山
168,43.028,141.358,627,豊平川,幌平橋（廃止）
169,43.03,141.354,627,豊平川,藻岩
170,43.071,141.401,651,豊平川,雁来
171,43.196,141.5,312.8,当別川,旧当別川下（廃止）
172,43.183,141.491,313,当別川,当別川下
173,43.167,141.348,141,茨戸川,茨戸
174,43.709,141.926,88,大鳳川,大鳳橋
175,43.366,141.798,67,産化美唄川,産化美唄
176,43.278,141.971,36.02,奔別川,新奔別
177,43.134,141.646,320,幌向川,豊幌
178,42.91,141.723,63,嶮淵川,嶮淵
179,42.857,141.403,40,漁川,光竜
180,42.879,141.57,147,漁川,日の出橋
181,42.988,141.564,24,輪厚川,輪厚
182,42.866,141.16,42,漁入沢川,漁入沢
183,42.931,141.12,19,白水川,白水橋
184,42.939,141.126,11,小川,薄別
185,43.033,141.129,68,小樽内川,小樽内
186,42.95,141.286,3,野々沢川,野々沢
187,42.96,141.287,-9999,野々沢川,下野々沢
188,42.943,141.309,4,オカバルシ川,オカバルシ
189,42.961,141.313,7,オカバルシ川,下オカバルシ
190,42.935,141.33,2,穴の川,穴の川
191,42.958,141.323,-9999,穴の川,下穴の川
192,42.986,141.306,2,南の沢川,南の沢
193,42.982,141.333,6,南の沢川,下南の沢
194,43.058,141.432,28,月寒川,月寒
195,43.075,141.426,-9999,望月寒川,望月寒
196,43.118,141.427,0,篠路新川,モエレ
197,43.112,141.478,183,厚別川,厚別
198,43.153,141.371,71,伏籠川,伏籠下流
199,43.158,141.361,72,伏籠川,福移橋
200,42.864,141.411,42,ラルマナイ川,白扇
201,43.013,141.154,14,滝の沢川,滝の沢
202,42.977,141.138,91.5,白井川,白井
203,43.125,141.344,16,創成川,創成上流
204,43.156,141.352,21,創成川,創成
205,43.148,141.318,18,発寒川,発寒上流
206,43.159,141.348,24,発寒川,発寒
207,42.941,141.569,50,島松川,下島松
208,43.009,141.309,4,北の沢川,下北の沢
209,42.934,141.341,3,真駒内川,真駒内常磐
210,43.001,141.311,7,中の沢川,中の沢
211,42.957,141.263,19,簾舞川,簾舞
212,42.938,141.224,6,盤の沢川,盤の沢川
213,43.633,143.01,113,石狩川,石狩平
214,43.727,142.955,444,石狩川,層雲峡
215,43.842,142.764,842,石狩川,上川
216,43.889,142.655,1083,石狩川,中愛別
217,43.893,142.522,1325,石狩川,比布
218,43.816,142.419,1423,石狩川,永山
219,43.778,142.358,1917,石狩川,旭橋
220,43.764,142.276,3379,石狩川,伊納
221,43.646,143.066,45,ルベシナイ川,ルベシナイ
222,43.863,142.843,208,留辺志部川,ルベシベ
223,43.802,142.476,159.6,牛朱別川,桜岡（廃止）
224,43.788,142.443,430,牛朱別川,旭永橋
225,43.775,142.373,475,牛朱別川,中央橋
226,43.649,142.586,249,忠別川,江卸
227,43.693,142.501,278,忠別川,暁橋
228,43.703,142.469,263.4,忠別川,暁橋(旧)（廃止）
229,43.748,142.376,358,忠別川,大正橋
230,43.586,142.456,149,美瑛川,西一区
231,43.643,142.396,424,美瑛川,辺別太
232,43.68,142.378,645,美瑛川,西神楽
233,43.665,142.403,189,辺別川,18号
234,43.824,142.329,181,オサラッペ川,鷹栖橋
235,43.297,142.395,950,空知川,布部
236,43.809,142.466,161,永山新川,北永
237,43.62,142.754,124,忠別川,忠別川上流
238,43.631,142.689,60,忠別川,ピウケナイ
239,43.805,142.487,201,牛朱別川,鹿島橋
240,26.714,128.164,-9999,田嘉里川,田嘉里（廃止）
241,42.789,140.934,230.8,尻別川,喜茂別下流（廃止）
242,42.885,140.753,717.3,尻別川,倶知安（廃止）
243,42.801,140.599,1313.7,尻別川,昆布
244,42.815,140.529,1367.5,尻別川,蘭越
245,42.811,140.453,1402.2,尻別川,名駒
246,42.877,140.365,1636.3,尻別川,河口
247,26.67,128.141,23.6,大保川,大保(廃止）
248,26.658,128.128,-9999,大保川,大保大橋
249,26.656,128.138,-9999,大保川,大工又橋
250,42.507,140.191,48,後志利別川,上利別
251,42.428,140.154,141.5,後志利別川,花石
252,42.411,140.105,206.2,後志利別川,住吉
253,42.421,140.009,361.4,後志利別川,今金
254,42.417,139.921,612.3,後志利別川,大富
255,42.425,139.848,720,後志利別川,河口
