ID,lat_mod,lon_mod,area_mod,lat_ori,lon_ori,area_ori,Memo,Station Name,River Name,Country,File Date,Last Update,Downstream GRDC Station,Altitude
1134730,16.667,-3.033,342000,16.667,-3.033,342000, ,Koryoume,"NIGER, RIVER",ML,2020/1/31,2018/6/28,1134850,256
1134850,16.93,-0.58,348000,16.93,-0.58,348000, ,Tossaye,"NIGER, RIVER",ML,2020/1/31,2018/6/28,1134900,-999
1134900,15.667,0.5,566000,15.667,0.5,566000, ,Ansongo,"NIGER, RIVER",ML,2020/1/31,2018/6/28,1234090,242
1147010,-4.3,15.3,3475000,-4.3,15.3,3475000, ,Kinshasa,CONGO RIVER,CD,2020/1/31,2018/5/23,-999,-999
1147011,-0.35,25.45,948500,-0.35,25.45,948500, ,Ponthierville,CONGO RIVER,CD,2020/1/31,2018/5/23,1147013,413.6199951
1147012,-2.95,25.917,810440,-2.95,25.917,810440, ,Kindu,CONGO RIVER,CD,2020/1/31,2018/5/23,1147011,419.8599854
1147013,-4.137,15.333,3747320,-4.137,15.333,3747320,OK,Kinshasa-East (Leopoldville-Est),CONGO RIVER,CD,2020/1/31,2018/5/23,1147010,272.1199951
1147200,-3.183,17.383,737640,-3.183,17.383,737640, ,Kutu-Moke,KASAI,CD,2020/1/31,2018/5/23,1147013,302.7200012
1147201,-4.333,20.583,232560,-4.333,20.583,232560, ,Port-Francqui,KASAI,CD,2020/1/31,2018/5/23,1147200,365.019989
1159100,-28.758,17.721,866486,-28.758,17.721,866486, ,Vioolsdrif (27811003),ORANGE RIVER,ZA,2020/1/31,2019/2/14,-999,152
1159105,-28.076,16.898,985370,-28.076,16.898,985370, ,Sendelingsdrif,ORANGE RIVER,ZA,2020/1/31,2019/2/12,1159100,-999
1159110,-31.807,20.358,1502,-31.807,20.358,1502, ,Hardeheuwel (27814003),VISRIVIER-OOS,ZA,2020/1/31,2019/2/12,1159130,1077
1159120,-31.815,20.578,1679,-31.815,20.578,1679, ,Bonekraal (27814011),RENOSTERRIVIER,ZA,2020/1/31,2019/2/12,1159130,1140
1159130,-30.474,20.519,40073,-30.474,20.519,40073, ,Hol Pads Leegte (27814016),SAK,ZA,2020/1/31,2019/2/12,1159100,919
1159131,-31.366,21.322,13116,-31.366,21.322,13116, ,Windhoek (27814013),SAK,ZA,2020/1/31,2018/5/22,1159130,1093
1159300,-28.458,21.239,364560,-28.458,21.239,364560, ,Upington,ORANGE RIVER,ZA,2020/1/31,2019/2/12,1159100,-999
1159301,-29.652,22.746,339310,-29.652,22.746,339310, ,Prieska (27815102),ORANGE RIVER,ZA,2020/1/31,2019/2/12,1159300,947
1159302,-29.162,23.696,99316,-29.162,23.696,99316, ,Marksdrift (27815208),ORANGE RIVER,ZA,2020/1/31,2019/2/12,1159301,997
1159303,-29.815,24.438,92346,-29.815,24.438,92346, ,Vluytjeskraal (27815205),ORANGE RIVER,ZA,2020/1/31,2018/5/22,1159302,1095
1159310,-29.144,26.318,348,-29.144,26.318,348, ,Shannon Valley (27817207),RENOSTERSPRUIT,ZA,2020/1/31,2019/2/12,1159301,1350
