ID,lat_alloc,lon_alloc,area_alloc,lat_ori,lon_ori,area_ori,area_diff,area_error,loc_km_diff,alloc_score,rivname,locname,flag,memo
406,37.595,140.462,2373.739,37.594,140.465,2331.8,41.938,0.018,0.309,0.08,阿武隈川,二本松,1,
407,37.583,140.513,140.255,37.582,140.513,120,20.255,0.169,0.073,0.183,移川,移川,1,
408,37.516,140.405,2253.115,37.516,140.404,2283.5,-30.385,-0.013,0.076,0.025,阿武隈川,本宮,1,
409,37.408,140.409,1856.456,37.408,140.409,1865.2,-8.744,-0.005,0.04,0.012,阿武隈川,阿久津,1,
410,37.345,140.374,1270.758,37.346,140.374,1292.8,-22.042,-0.017,0.099,0.033,阿武隈川,御代田,1,
411,37.302,140.385,889.484,37.301,140.385,910.2,-20.716,-0.023,0.126,0.043,阿武隈川,須賀川,1,
412,37.287,140.353,286.969,37.287,140.354,275.8,11.169,0.04,0.052,0.051,釈迦堂川,西川,1,
413,37.273,140.408,845.243,37.273,140.407,905.4,-60.157,-0.066,0.057,0.065,阿武隈川,小作田,1,
414,37.142,140.415,423.426,37.142,140.415,440.6,-17.174,-0.039,0.054,0.041,社川,小金石,1,
415,37.134,140.209,149.81,37.134,140.209,172.4,-22.59,-0.131,0.005,0.114,阿武隈川,白河,1,
416,37.912,140.426,183.812,37.912,140.426,-9999,-999,-999,0.035,-999,摺上川,秋庭,1,
417,37.951,140.34,14.51,37.95,140.34,-9999,-999,-999,0.085,-999,摺上川,稲子沢,1,
418,37.842,140.441,221.758,37.843,140.441,-9999,-999,-999,0.071,-999,摺上川,西根上堰,1,
419,37.823,140.453,55.585,37.83,140.456,82,-26.415,-0.322,0.818,0.537,摺上川,西根下堰,1,
420,37.994,140.444,123.85,37.994,140.444,126,-2.15,-0.017,0.035,0.02,白石川,関,1,
421,37.994,140.458,48.878,37.995,140.457,50,-1.122,-0.022,0.149,0.059,白石川,萩崎,1,
422,37.951,140.555,277.182,37.951,140.555,281,-3.818,-0.014,0.036,0.018,白石川,塩倉,1,
423,38.012,140.62,342.862,38.012,140.62,345,-2.138,-0.006,0.026,0.01,白石川,白石,1,
424,38.037,140.697,675.003,38.036,140.696,684,-8.997,-0.013,0.101,0.03,白石川,北白川,1,
425,37.98,140.56,296.915,37.98,140.56,295,1.915,0.006,0.04,0.015,白石川,小日向,1,
426,37.953,140.53,234.134,37.953,140.529,240,-5.866,-0.024,0.092,0.037,白石川,冷清水,1,
427,38.09,140.658,93.696,38.09,140.658,106.4,-12.704,-0.119,0.056,0.113,白石川,永野,1,
428,38.049,140.738,684.802,38.049,140.738,690.4,-5.598,-0.008,0.038,0.014,白石川,大河原,1,
429,37.962,140.515,231.117,37.962,140.513,237,-5.883,-0.025,0.141,0.047,白石川,七ヶ宿ダム,1,
430,37.416,140.608,53.486,37.415,140.608,53.7,-0.214,-0.004,0.113,0.034,牧野川,牧野,1,
431,37.437,140.648,63.612,37.437,140.648,63.4,0.212,0.003,0.023,0.009,大滝根川,常葉,1,
432,37.424,140.526,181.526,37.424,140.525,180,1.526,0.008,0.07,0.023,大滝根川,光大寺,1,
433,37.37,140.428,242.441,37.37,140.429,249,-6.559,-0.026,0.05,0.03,大滝根川,赤沼,1,
434,38.178,140.953,778.496,38.178,140.952,776,2.496,0.003,0.141,0.031,名取川,閖上第二,1,
435,38.205,140.913,764.896,38.205,140.912,772,-7.104,-0.009,0.106,0.028,名取川,袋原,1,
436,38.206,140.885,442.678,38.206,140.886,431,11.678,0.027,0.058,0.039,名取川,名取橋,1,
437,38.27,140.59,48.149,38.268,140.59,49.6,-1.451,-0.029,0.24,0.091,名取川,野尻,1,
438,38.235,140.89,306.582,38.236,140.889,309,-2.418,-0.008,0.083,0.022,広瀬川,広瀬橋,1,
439,38.269,140.808,273.366,38.269,140.809,274,-0.634,-0.002,0.123,0.026,広瀬川,落合,1,
440,38.216,140.865,10.241,38.216,140.864,-9999,-999,-999,0.051,-999,笊川,杉の下橋,1,
441,38.198,140.931,776.616,38.196,140.931,773.4,3.216,0.004,0.214,0.047,名取川,中村,1,
442,38.217,140.815,421.383,38.218,140.814,424,-2.617,-0.006,0.088,0.022,名取川,余方,1,
443,38.234,140.706,122.731,38.235,140.708,130,-7.269,-0.056,0.187,0.082,名取川,湯元,1,
444,38.199,140.727,207.38,38.199,140.727,207.3,0.08,0,0.035,0.007,碁石川,碁石,1,
445,38.209,140.637,31.687,38.209,140.637,38,-6.313,-0.166,0.017,0.155,太郎川,馬引,1,
446,38.173,140.666,58.527,38.173,140.665,68.7,-10.173,-0.148,0.087,0.151,前川,前川,1,
447,38.201,140.605,67.905,38.201,140.605,56.6,11.305,0.2,0.036,0.209,北川,下原,1,
448,38.217,140.815,421.383,38.218,140.815,424.3,-2.917,-0.007,0.08,0.021,名取川,余方,1,
449,38.38,141.172,1292.846,38.379,141.17,1158.4,134.446,0.116,0.164,0.149,鳴瀬川,野蒜,1,
450,38.406,141.151,810.794,38.406,141.149,788.7,22.094,0.028,0.151,0.058,鳴瀬川,小野,1,
451,38.435,141.116,755.186,38.435,141.116,739.3,15.886,0.021,0.046,0.031,鳴瀬川,鹿島台,1,
452,38.497,141.119,752.694,38.498,141.119,-9999,-999,-999,0.165,-999,鳴瀬川,竹谷,1,
453,38.528,141.059,726.675,38.527,141.059,707,19.675,0.028,0.163,0.06,鳴瀬川,野田橋,1,
454,38.531,141.023,706.815,38.531,141.023,701.6,5.215,0.007,0.029,0.013,鳴瀬川,下中ノ目,1,
455,38.527,140.948,568.96,38.527,140.949,550.8,18.16,0.033,0.094,0.052,鳴瀬川,三本木橋,1,
456,38.36,141.142,7.902,38.343,141.168,-9999,-999,-999,2.959,-999,鳴瀬川,宮戸,1,
457,38.405,141.149,473.504,38.405,141.149,350.6,122.904,0.351,0.031,0.357,吉田川,小野,1,
458,38.434,141.116,458.253,38.435,141.116,337.4,120.853,0.358,0.108,0.38,吉田川,鹿島台,1,
459,38.441,141.063,330.277,38.442,141.068,335,-4.723,-0.014,0.434,0.097,吉田川,幡谷,1,
460,38.435,140.997,303.643,38.436,140.996,298.2,5.443,0.018,0.08,0.034,吉田川,粕川,1,
461,38.431,140.891,81.789,38.432,140.891,68.7,13.089,0.191,0.083,0.211,吉田川,高田橋,1,
462,38.428,140.928,199.873,38.428,140.929,197.2,2.673,0.014,0.07,0.028,吉田川,落合,1,
